"TABLE 11.--- MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD, AND “IPPS COMPARABLE THRESHOLD” FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2016 THROUGH SEPTEMBER 30, 2017 UNDER THE LTCH PPS
(as corrected in CMS-1655-CN issued October 2016)"						
76	Viral meningitis w/o CC/MCC	0	0.5008	16.2	13.5	5.7
77	Hypertensive encephalopathy w MCC	4	1.1287	28.5	23.8	9.1
78	Hypertensive encephalopathy w CC	2	0.5008	16.2	13.5	5.7
79	Hypertensive encephalopathy w/o CC/MCC	1	0.5008	16.2	13.5	4.0
80	Nontraumatic stupor & coma w MCC	3	0.6798	20.5	17.1	8.6
81	Nontraumatic stupor & coma w/o MCC	1	0.5008	16.2	13.5	5.4
82	"Traumatic stupor & coma, coma >1 hr w MCC"	22	1.1287	28.5	23.8	9.4
83	"Traumatic stupor & coma, coma >1 hr w CC"	10	0.8613	23.1	19.3	6.7
84	"Traumatic stupor & coma, coma >1 hr w/o CC/MCC"	1	0.6798	20.5	17.1	4.2
85	"Traumatic stupor & coma, coma <1 hr w MCC"	61	0.9702	28.8	24.0	10.7
86	"Traumatic stupor & coma, coma <1 hr w CC"	30	0.6899	20.4	17.0	6.3
87	"Traumatic stupor & coma, coma <1 hr w/o CC/MCC"	1	0.5008	16.2	13.5	4.1
88	Concussion w MCC	0	0.9702	28.8	24.0	8.3
89	Concussion w CC	0	0.6899	20.4	17.0	5.2
90	Concussion w/o CC/MCC	0	0.5008	16.2	13.5	3.5
91	Other disorders of nervous system w MCC	138	0.894	23.3	19.4	9.1
92	Other disorders of nervous system w CC	26	0.7557	23.8	19.8	6.0
93	Other disorders of nervous system w/o CC/MCC	6	0.5008	16.2	13.5	4.2
94	Bacterial & tuberculous infections of nervous system w MCC	145	1.0463	27.5	22.9	17.8
95	Bacterial & tuberculous infections of nervous system w CC	30	0.8505	26.1	21.8	11.5
96	Bacterial & tuberculous infections of nervous system w/o CC/MCC	5	0.5008	16.2	13.5	8.5
97	Non-bacterial infect of nervous sys exc viral meningitis w MCC	31	0.9546	20.9	17.4	17.0
98	Non-bacterial infect of nervous sys exc viral meningitis w CC	7	0.6798	20.5	17.1	11.5
99	Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC	1	0.6798	20.5	17.1	7.7
100	Seizures w MCC	35	0.8618	25.1	20.9	9.0
101	Seizures w/o MCC	3	0.5008	16.2	13.5	5.0
102	Headaches w MCC	4	1.8964	40.0	33.3	6.4
103	Headaches w/o MCC	1	0.5008	16.2	13.5	4.5
113	Orbital procedures w CC/MCC	0	0.6798	20.5	17.1	9.6
114	Orbital procedures w/o CC/MCC	0	0.5008	16.2	13.5	4.8
115	Extraocular procedures except orbit	0	0.5008	16.2	13.5	7.7
116	Intraocular procedures w CC/MCC	0	0.6798	20.5	17.1	8.3
117	Intraocular procedures w/o CC/MCC	0	0.5008	16.2	13.5	4.0
121	Acute major eye infections w CC/MCC	3	1.8964	40.0	33.3	8.2
122	Acute major eye infections w/o CC/MCC	0	0.5008	16.2	13.5	5.3
123	Neurological eye disorders	0	0.5008	16.2	13.5	3.9
124	Other disorders of the eye w MCC	1	0.5008	16.2	13.5	8.1
125	Other disorders of the eye w/o MCC	1	0.5008	16.2	13.5	5.1
129	Major head & neck procedures w CC/MCC or major device	0	1.1287	28.5	23.8	8.6
130	Major head & neck procedures w/o CC/MCC	0	0.5008	16.2	13.5	4.3
131	Cranial/facial procedures w CC/MCC	0	0.6798	20.5	17.1	9.9
132	Cranial/facial procedures w/o CC/MCC	0	0.5008	16.2	13.5	3.9
133	"Other ear, nose, mouth & throat O.R. procedures w CC/MCC"	3	1.1287	28.5	23.8	9.2
134	"Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC"	0	0.5008	16.2	13.5	3.7
135	Sinus & mastoid procedures w CC/MCC	0	0.6798	20.5	17.1	10.1
136	Sinus & mastoid procedures w/o CC/MCC	0	0.5008	16.2	13.5	3.9
137	Mouth procedures w CC/MCC	0	0.6798	20.5	17.1	7.8
138	Mouth procedures w/o CC/MCC	0	0.5008	16.2	13.5	4.1
139	Salivary gland procedures	0	0.6798	20.5	17.1	3.4
146	"Ear, nose, mouth & throat malignancy w MCC"	19	1.1287	28.5	23.8	13.8
147	"Ear, nose, mouth & throat malignancy w CC"	4	0.5008	16.2	13.5	8.9
148	"Ear, nose, mouth & throat malignancy w/o CC/MCC"	1	0.5008	16.2	13.5	5.4
149	Dysequilibrium	0	0.5008	16.2	13.5	3.8
150	Epistaxis w MCC	0	0.8613	23.1	19.3	7.9
151	Epistaxis w/o MCC	0	0.6798	20.5	17.1	4.4
152	Otitis media & URI w MCC	18	0.8613	23.1	19.3	6.9
153	Otitis media & URI w/o MCC	5	0.6798	20.5	17.1	4.9
154	"Other ear, nose, mouth & throat diagnoses w MCC"	18	1.1287	28.5	23.8	8.5
155	"Other ear, nose, mouth & throat diagnoses w CC"	8	0.6798	20.5	17.1	5.9
156	"Other ear, nose, mouth & throat diagnoses w/o CC/MCC"	2	0.5008	16.2	13.5	4.3
157	Dental & Oral Diseases w MCC	18	0.8613	23.1	19.3	9.7
158	Dental & Oral Diseases w CC	6	0.6798	20.5	17.1	5.7
159	Dental & Oral Diseases w/o CC/MCC	0	0.5008	16.2	13.5	3.7
163	Major chest procedures w MCC	30	2.5583	42.5	35.4	20.4
164	Major chest procedures w CC	2	1.1287	28.5	23.8	9.8
165	Major chest procedures w/o CC/MCC	0	1.1287	28.5	23.8	5.5
166	Other resp system O.R. procedures w MCC	"1,475"	2.4628	41.6	34.7	16.9
167	Other resp system O.R. procedures w CC	62	1.6061	33.0	27.5	9.9
168	Other resp system O.R. procedures w/o CC/MCC	2	1.1287	28.5	23.8	6.0
175	Pulmonary embolism w MCC	60	0.7285	21.0	17.5	9.0
176	Pulmonary embolism w/o MCC	16	0.6798	20.5	17.1	5.9
177	Respiratory infections & inflammations w MCC	"1,909"	0.8359	22.0	18.3	11.6
178	Respiratory infections & inflammations w CC	324	0.6587	19.0	15.8	8.8
179	Respiratory infections & inflammations w/o CC/MCC	22	0.5008	16.2	13.5	6.5
180	Respiratory neoplasms w MCC	22	0.8613	23.1	19.3	10.9
181	Respiratory neoplasms w CC	10	0.6798	20.5	17.1	7.6
182	Respiratory neoplasms w/o CC/MCC	0	0.5008	16.2	13.5	4.8
183	Major chest trauma w MCC	0	1.1287	28.5	23.8	9.1
184	Major chest trauma w CC	0	1.1287	28.5	23.8	6.0
185	Major chest trauma w/o CC/MCC	0	1.1287	28.5	23.8	4.3
186	Pleural effusion w MCC	86	0.9345	21.6	18.0	9.6
187	Pleural effusion w CC	7	0.9345	21.6	18.0	6.9
188	Pleural effusion w/o CC/MCC	0	0.5008	16.2	13.5	4.8
189	Pulmonary edema & respiratory failure	"10,760"	0.9012	21.4	17.8	7.7
190	Chronic obstructive pulmonary disease w MCC	754	0.7653	19.4	16.2	7.4
191	Chronic obstructive pulmonary disease w CC	159	0.5895	16.6	13.8	6.1
192	Chronic obstructive pulmonary disease w/o CC/MCC	27	0.5195	14.7	12.3	4.8
193	Simple pneumonia & pleurisy w MCC	811	0.745	19.7	16.4	8.8
194	Simple pneumonia & pleurisy w CC	243	0.5598	16.6	13.8	6.5
195	Simple pneumonia & pleurisy w/o CC/MCC	22	0.5008	16.2	13.5	5.0
196	Interstitial lung disease w MCC	50	0.7686	18.6	15.5	10.2
197	Interstitial lung disease w CC	9	0.7686	18.6	15.5	6.8
198	Interstitial lung disease w/o CC/MCC	3	0.5008	16.2	13.5	5.2
199	Pneumothorax w MCC	43	0.8743	22.6	18.8	11.7
200	Pneumothorax w CC	12	0.6798	20.5	17.1	6.8
201	Pneumothorax w/o CC/MCC	3	0.5008	16.2	13.5	5.0
202	Bronchitis & asthma w CC/MCC	26	0.6505	16.9	14.1	5.9
203	Bronchitis & asthma w/o CC/MCC	1	0.5008	16.2	13.5	4.5
204	Respiratory signs & symptoms	44	0.7771	21.7	18.1	4.3
205	Other respiratory system diagnoses w MCC	158	0.8198	20.7	17.3	8.5
206	Other respiratory system diagnoses w/o MCC	20	0.6798	20.5	17.1	5.0
207	Respiratory system diagnosis w ventilator support >96 hours	"13,982"	1.8542	31.9	26.6	20.6
208	Respiratory system diagnosis w ventilator support <=96 hours	"1,667"	1.1033	21.8	18.2	11.5
215	Other heart assist system implant	0	1.5259	30.5	25.4	25.4
216	Cardiac valve & oth maj cardiothoracic proc w card cath w MCC	0	1.5259	30.5	25.4	25.4
217	Cardiac valve & oth maj cardiothoracic proc w card cath w CC	0	1.5259	30.5	25.4	14.8
218	Cardiac valve & oth maj cardiothoracic proc w card cath w/o CC/MCC	0	0.8613	23.1	19.3	10.8
219	Cardiac valve & oth maj cardiothoracic proc w/o card cath w MCC	0	1.5259	30.5	25.4	17.8
220	Cardiac valve & oth maj cardiothoracic proc w/o card cath w CC	0	1.5259	30.5	25.4	9.8
221	Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC	0	1.5259	30.5	25.4	7.7
222	Cardiac defib implant w cardiac cath w AMI/HF/shock w MCC	0	1.1287	28.5	23.8	18.9
223	Cardiac defib implant w cardiac cath w AMI/HF/shock w/o MCC	0	1.1287	28.5	23.8	11.4
224	Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC	0	1.1287	28.5	23.8	15.4
225	Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC	0	1.1287	28.5	23.8	7.4
226	Cardiac defibrillator implant w/o cardiac cath w MCC	2	1.8964	40.0	33.3	14.7
227	Cardiac defibrillator implant w/o cardiac cath w/o MCC	1	1.8964	40.0	33.3	7.4
228	Other cardiothoracic procedures w MCC	0	1.5259	30.5	25.4	19.3
229	Other cardiothoracic procedures w/o MCC	0	0.8613	23.1	19.3	9.1
231	Coronary bypass w PTCA w MCC	0	1.5259	30.5	25.4	18.8
232	Coronary bypass w PTCA w/o MCC	0	1.2752	32.0	26.7	12.5
233	Coronary bypass w cardiac cath w MCC	0	1.5259	30.5	25.4	18.9
234	Coronary bypass w cardiac cath w/o MCC	0	1.2752	32.0	26.7	11.6
235	Coronary bypass w/o cardiac cath w MCC	0	1.5259	30.5	25.4	14.9
236	Coronary bypass w/o cardiac cath w/o MCC	0	1.2752	32.0	26.7	8.8
239	Amputation for circ sys disorders exc upper limb & toe w MCC	33	2.0707	38.4	32.0	21.0
240	Amputation for circ sys disorders exc upper limb & toe w CC	10	1.1287	28.5	23.8	13.2
241	Amputation for circ sys disorders exc upper limb & toe w/o CC/MCC	0	1.1287	28.5	23.8	7.8
242	Permanent cardiac pacemaker implant w MCC	6	1.1287	28.5	23.8	11.6
243	Permanent cardiac pacemaker implant w CC	1	1.1287	28.5	23.8	6.8
244	Permanent cardiac pacemaker implant w/o CC/MCC	0	1.1287	28.5	23.8	4.3
245	AICD generator procedures	2	1.8964	40.0	33.3	9.0
246	Perc cardiovasc proc w drug-eluting stent w MCC or 4+ vessels/stents	0	1.8964	40.0	33.3	8.8
247	Perc cardiovasc proc w drug-eluting stent w/o MCC	0	1.2752	32.0	26.7	4.0
248	Perc cardiovasc proc w non-drug-eluting stent w MCC or 4+ ves/stents	0	1.8964	40.0	33.3	10.2
249	Perc cardiovasc proc w non-drug-eluting stent w/o MCC	0	1.1287	28.5	23.8	4.7
250	Perc cardiovasc proc w/o coronary artery stent w MCC	0	1.8964	40.0	33.3	8.8
251	Perc cardiovasc proc w/o coronary artery stent w/o MCC	0	1.1287	28.5	23.8	4.4
252	Other vascular procedures w MCC	57	1.5259	30.5	25.4	13.2
253	Other vascular procedures w CC	2	0.8613	23.1	19.3	9.2
254	Other vascular procedures w/o CC/MCC	0	0.8613	23.1	19.3	4.6
255	Upper limb & toe amputation for circ system disorders w MCC	15	1.8964	40.0	33.3	14.1
256	Upper limb & toe amputation for circ system disorders w CC	4	0.8613	23.1	19.3	9.8
257	Upper limb & toe amputation for circ system disorders w/o CC/MCC	0	0.8613	23.1	19.3	6.4
258	Cardiac pacemaker device replacement w MCC	0	1.1287	28.5	23.8	11.1
259	Cardiac pacemaker device replacement w/o MCC	0	1.1287	28.5	23.8	5.5
260	Cardiac pacemaker revision except device replacement w MCC	1	1.1287	28.5	23.8	16.8
261	Cardiac pacemaker revision except device replacement w CC	1	0.8613	23.1	19.3	7.1
262	Cardiac pacemaker revision except device replacement w/o CC/MCC	0	0.8613	23.1	19.3	4.4
263	Vein ligation & stripping	0	1.1287	28.5	23.8	10.2
264	Other circulatory system O.R. procedures	205	1.2752	32.0	26.7	14.0
265	AICD lead procedures	0	1.1287	28.5	23.8	7.1
266	Endovascular cardiac valve replacement w MCC	0	1.5259	30.5	25.4	13.8
267	Endovascular cardiac valve replacement w/o MCC	0	0.8613	23.1	19.3	6.6
268	Aortic and heart assist procedures except pulsation balloon w MCC	0	1.5259	30.5	25.4	16.6
269	Aortic and heart assist procedures except pulsation balloon w/o MCC	0	1.2752	32.0	26.7	3.9
270	Other major cardiovascular procedures w MCC	1	1.8964	40.0	33.3	16.2
271	Other major cardiovascular procedures w CC	0	1.1287	28.5	23.8	9.6
272	Other major cardiovascular procedures w/o CC/MCC	0	1.1287	28.5	23.8	4.7
273	Percutaneous intracardiac procedures w MCC	1	1.1287	28.5	23.8	13.2
274	Percutaneous intracardiac procedures  w/o MCC	1	0.6798	20.5	17.1	5.5
280	"Acute myocardial infarction, discharged alive w MCC"	159	0.9161	24.5	20.4	9.1
281	"Acute myocardial infarction, discharged alive w CC"	24	0.6798	20.5	17.1	5.3
282	"Acute myocardial infarction, discharged alive w/o CC/MCC"	2	0.6798	20.5	17.1	3.5
283	"Acute myocardial infarction, expired w MCC"	27	0.8103	16.2	13.5	7.5
284	"Acute myocardial infarction, expired w CC"	1	0.8103	16.2	13.5	3.6
285	"Acute myocardial infarction, expired w/o CC/MCC"	0	0.8103	16.2	13.5	2.2
286	"Circulatory disorders except AMI, w card cath w MCC"	5	1.8964	40.0	33.3	11.3
287	"Circulatory disorders except AMI, w card cath w/o MCC"	5	1.1287	28.5	23.8	5.2
288	Acute & subacute endocarditis w MCC	443	1.0732	26.6	22.2	15.7
289	Acute & subacute endocarditis w CC	73	0.7159	23.3	19.4	10.2
290	Acute & subacute endocarditis w/o CC/MCC	6	0.5008	16.2	13.5	8.6
291	Heart failure & shock w MCC	872	0.8175	21.4	17.8	9.1
292	Heart failure & shock w CC	259	0.6345	18.6	15.5	6.6
293	Heart failure & shock w/o CC/MCC	16	0.5008	16.2	13.5	4.5
294	Deep vein thrombophlebitis w CC/MCC	2	0.6798	20.5	17.1	7.5
295	Deep vein thrombophlebitis w/o CC/MCC	0	0.6798	20.5	17.1	5.6
296	"Cardiac arrest, unexplained w MCC"	0	0.8175	21.4	17.8	4.4
297	"Cardiac arrest, unexplained w CC"	0	0.6345	18.6	15.5	2.1
298	"Cardiac arrest, unexplained w/o CC/MCC"	0	0.5008	16.2	13.5	1.5
299	Peripheral vascular disorders w MCC	215	0.8113	21.8	18.2	8.7
300	Peripheral vascular disorders w CC	71	0.6137	20.6	17.2	6.8
301	Peripheral vascular disorders w/o CC/MCC	4	0.5008	16.2	13.5	4.9
302	Atherosclerosis w MCC	31	1.0109	23.0	19.2	5.9
303	Atherosclerosis w/o MCC	9	0.5008	16.2	13.5	3.5
304	Hypertension w MCC	4	0.6798	20.5	17.1	6.4
305	Hypertension w/o MCC	3	0.6798	20.5	17.1	4.0
306	Cardiac congenital & valvular disorders w MCC	41	0.9399	23.7	19.8	8.6
307	Cardiac congenital & valvular disorders w/o MCC	9	0.6798	20.5	17.1	5.0
308	Cardiac arrhythmia & conduction disorders w MCC	54	0.8132	21.8	18.2	7.6
309	Cardiac arrhythmia & conduction disorders w CC	14	0.5008	16.2	13.5	4.9
310	Cardiac arrhythmia & conduction disorders w/o CC/MCC	2	0.5008	16.2	13.5	3.4
311	Angina pectoris	0	0.5008	16.2	13.5	3.4
312	Syncope & collapse	7	0.5008	16.2	13.5	4.5
313	Chest pain	1	0.8613	23.1	19.3	3.2
314	Other circulatory system diagnoses w MCC	"1,044"	1.0092	24.1	20.1	11.0
315	Other circulatory system diagnoses w CC	115	0.7182	20.8	17.3	6.0
316	Other circulatory system diagnoses w/o CC/MCC	6	0.5008	16.2	13.5	3.8
326	"Stomach, esophageal & duodenal proc w MCC"	9	1.8964	40.0	33.3	23.0
327	"Stomach, esophageal & duodenal proc w CC"	1	0.6798	20.5	17.1	11.9
328	"Stomach, esophageal & duodenal proc w/o CC/MCC"	0	0.6314	19.9	16.6	4.9
329	Major small & large bowel procedures w MCC	14	1.8964	40.0	33.3	21.9
330	Major small & large bowel procedures w CC	0	0.6314	19.9	16.6	11.9
331	Major small & large bowel procedures w/o CC/MCC	0	0.6314	19.9	16.6	6.5
332	Rectal resection w MCC	0	1.8964	40.0	33.3	19.6
333	Rectal resection w CC	0	0.6314	19.9	16.6	10.7
334	Rectal resection w/o CC/MCC	0	0.6314	19.9	16.6	6.1
335	Peritoneal adhesiolysis w MCC	7	1.8964	40.0	33.3	20.0
336	Peritoneal adhesiolysis w CC	2	1.1287	28.5	23.8	12.7
337	Peritoneal adhesiolysis w/o CC/MCC	0	0.6314	19.9	16.6	7.8
338	Appendectomy w complicated principal diag w MCC	0	0.9542	24.2	20.2	13.4
339	Appendectomy w complicated principal diag w CC	0	0.6314	19.9	16.6	8.8
340	Appendectomy w complicated principal diag w/o CC/MCC	0	0.6314	19.9	16.6	5.1
341	Appendectomy w/o complicated principal diag w MCC	0	0.9542	24.2	20.2	10.0
342	Appendectomy w/o complicated principal diag w CC	0	0.6314	19.9	16.6	5.5
343	Appendectomy w/o complicated principal diag w/o CC/MCC	0	0.6314	19.9	16.6	2.9
344	Minor small & large bowel procedures w MCC	1	1.8964	40.0	33.3	17.0
345	Minor small & large bowel procedures w CC	0	0.6314	19.9	16.6	9.2
346	Minor small & large bowel procedures w/o CC/MCC	0	0.6314	19.9	16.6	5.8
347	Anal & stomal procedures w MCC	2	1.8964	40.0	33.3	13.4
348	Anal & stomal procedures w CC	0	0.6314	19.9	16.6	8.1
349	Anal & stomal procedures w/o CC/MCC	0	0.6314	19.9	16.6	4.4
350	Inguinal & femoral hernia procedures w MCC	0	0.9542	24.2	20.2	12.5
351	Inguinal & femoral hernia procedures w CC	0	0.6314	19.9	16.6	6.7
352	Inguinal & femoral hernia procedures w/o CC/MCC	0	0.6314	19.9	16.6	4.0
353	Hernia procedures except inguinal & femoral w MCC	1	1.8964	40.0	33.3	12.9
354	Hernia procedures except inguinal & femoral w CC	1	0.6798	20.5	17.1	7.6
355	Hernia procedures except inguinal & femoral w/o CC/MCC	0	0.6798	20.5	17.1	4.6
356	Other digestive system O.R. procedures w MCC	123	1.4664	34.0	28.3	18.4
357	Other digestive system O.R. procedures w CC	8	0.8613	23.1	19.3	10.3
358	Other digestive system O.R. procedures w/o CC/MCC	0	0.6314	19.9	16.6	6.3
368	Major esophageal disorders w MCC	25	1.0308	22.5	18.8	10.1
369	Major esophageal disorders w CC	5	0.6798	20.5	17.1	5.9
370	Major esophageal disorders w/o CC/MCC	0	0.6798	20.5	17.1	4.2
371	Major gastrointestinal disorders & peritoneal infections w MCC	683	0.9542	24.2	20.2	11.7
372	Major gastrointestinal disorders & peritoneal infections w CC	103	0.6314	19.9	16.6	8.0
373	Major gastrointestinal disorders & peritoneal infections w/o CC/MCC	2	0.6314	19.9	16.6	5.9
374	Digestive malignancy w MCC	30	0.9554	24.7	20.6	12.8
375	Digestive malignancy w CC	3	0.8613	23.1	19.3	8.0
376	Digestive malignancy w/o CC/MCC	0	0.6083	18.3	15.3	5.1
377	G.I. hemorrhage w MCC	47	0.8757	23.4	19.5	9.4
378	G.I. hemorrhage w CC	13	0.5008	16.2	13.5	5.7
379	G.I. hemorrhage w/o CC/MCC	0	0.5008	16.2	13.5	3.9
380	Complicated peptic ulcer w MCC	23	0.8613	23.1	19.3	11.3
381	Complicated peptic ulcer w CC	5	0.8613	23.1	19.3	6.5
382	Complicated peptic ulcer w/o CC/MCC	1	0.8613	23.1	19.3	4.8
383	Uncomplicated peptic ulcer w MCC	5	0.8613	23.1	19.3	7.9
384	Uncomplicated peptic ulcer w/o MCC	1	0.5008	16.2	13.5	5.1
385	Inflammatory bowel disease w MCC	13	1.1287	28.5	23.8	11.1
386	Inflammatory bowel disease w CC	4	0.5008	16.2	13.5	7.1
387	Inflammatory bowel disease w/o CC/MCC	0	0.5008	16.2	13.5	5.4
388	G.I. obstruction w MCC	92	1.0656	23.4	19.5	10.7
389	G.I. obstruction w CC	25	0.6647	20.2	16.8	6.5
390	G.I. obstruction w/o CC/MCC	1	0.5008	16.2	13.5	4.7
391	"Esophagitis, gastroent & misc digest disorders w MCC"	158	0.8311	22.4	18.7	7.9
392	"Esophagitis, gastroent & misc digest disorders w/o MCC"	38	0.6083	18.3	15.3	5.1
393	Other digestive system diagnoses w MCC	563	1.1067	26.3	21.9	10.3
394	Other digestive system diagnoses w CC	98	0.7592	21.1	17.6	6.4
395	Other digestive system diagnoses w/o CC/MCC	1	0.6798	20.5	17.1	4.4
405	"Pancreas, liver & shunt procedures w MCC"	5	1.8964	40.0	33.3	22.6
406	"Pancreas, liver & shunt procedures w CC"	1	0.5008	16.2	13.5	11.6
407	"Pancreas, liver & shunt procedures w/o CC/MCC"	0	0.5008	16.2	13.5	7.8
408	Biliary tract proc except only cholecyst w or w/o c.d.e. w MCC	0	1.1287	28.5	23.8	18.4
409	Biliary tract proc except only cholecyst w or w/o c.d.e. w CC	0	1.1287	28.5	23.8	10.7
410	Biliary tract proc except only cholecyst w or w/o c.d.e. w/o CC/MCC	0	1.1287	28.5	23.8	7.6
411	Cholecystectomy w c.d.e. w MCC	1	0.5008	16.2	13.5	13.5
