"TABLE 11.--- MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY                               OUTLIER (SSO) THRESHOLD, AND “IPPS COMPARABLE THRESHOLD” FOR DISCHARGES OCCURRING FROM                             OCTOBER 1, 2015 THROUGH SEPTEMBER 30, 2016 UNDER THE LTCH PPS - CORRECTED"						
MS-LTC-DRG	MS-LTC-DRG Title	FY 2014 LTCH Cases1	 Relative Weight	Geometric Average Length of Stay	 Short-Stay Outlier (SSO) Threshold2	IPPS Comparable Threshold3
57	Degenerative nervous system disorders w/o MCC	192	0.6784	23.3	19.4	7.7
58	Multiple sclerosis & cerebellar ataxia w MCC	5	1.1274	26.4	22.0	11.6
59	Multiple sclerosis & cerebellar ataxia w CC	0	0.8688	25.2	21.0	6.9
60	Multiple sclerosis & cerebellar ataxia w/o CC/MCC	0	0.6784	23.3	19.4	5.5
61	Acute ischemic stroke w use of thrombolytic agent w MCC	0	0.9070	24.6	20.5	11.4
62	Acute ischemic stroke w use of thrombolytic agent w CC	0	0.6711	19.8	16.5	6.9
63	Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC	0	0.6711	19.8	16.5	4.7
64	Intracranial hemorrhage or cerebral infarction w MCC	81	0.8429	23.5	19.6	10.0
65	Intracranial hemorrhage or cerebral infarction w CC or tPA in 24 hrs	17	0.6711	19.8	16.5	6.2
66	Intracranial hemorrhage or cerebral infarction w/o CC/MCC	2	0.5268	17.5	14.6	4.2
67	Nonspecific cva & precerebral occlusion w/o infarct w MCC	0	0.5268	17.5	14.6	8.0
68	Nonspecific cva & precerebral occlusion w/o infarct w/o MCC	0	0.5268	17.5	14.6	4.5
69	Transient ischemia	1	0.5268	17.5	14.6	3.8
70	Nonspecific cerebrovascular disorders w MCC	65	0.9070	24.6	20.5	10.1
71	Nonspecific cerebrovascular disorders w CC	22	0.6711	19.8	16.5	6.8
72	Nonspecific cerebrovascular disorders w/o CC/MCC*	2	0.6711	19.8	16.5	4.6
73	Cranial & peripheral nerve disorders w MCC	35	0.9420	23.2	19.3	8.2
74	Cranial & peripheral nerve disorders w/o MCC	18	0.6711	19.8	16.5	5.9
75	Viral meningitis w CC/MCC	2	0.5268	17.5	14.6	10.5
76	Viral meningitis w/o CC/MCC	0	0.5268	17.5	14.6	5.2
77	Hypertensive encephalopathy w MCC	3	1.1274	26.4	22.0	8.8
78	Hypertensive encephalopathy w CC	0	0.7991	24.5	20.4	6.0
79	Hypertensive encephalopathy w/o CC/MCC	0	0.6711	19.8	16.5	4.2
80	Nontraumatic stupor & coma w MCC	0	1.0074	25.5	21.3	8.0
81	Nontraumatic stupor & coma w/o MCC	0	0.6711	19.8	16.5	5.4
82	"Traumatic stupor & coma, coma >1 hr w MCC"	12	0.8393	22.5	18.8	9.4
83	"Traumatic stupor & coma, coma >1 hr w CC"	8	0.6711	19.8	16.5	6.8
84	"Traumatic stupor & coma, coma >1 hr w/o CC/MCC"	0	0.5268	17.5	14.6	4.0
85	"Traumatic stupor & coma, coma <1 hr w MCC"	63	0.8515	24.7	20.6	10.7
86	"Traumatic stupor & coma, coma <1 hr w CC"	22	0.5268	17.5	14.6	6.4
87	"Traumatic stupor & coma, coma <1 hr w/o CC/MCC"	5	0.5268	17.5	14.6	4.1
88	Concussion w MCC	0	0.8515	24.7	20.6	7.4
89	Concussion w CC	0	0.5268	17.5	14.6	5.2
90	Concussion w/o CC/MCC	0	0.5268	17.5	14.6	3.5
91	Other disorders of nervous system w MCC	187	1.0074	25.5	21.3	9.2
92	Other disorders of nervous system w CC	35	0.7991	24.5	20.4	5.9
93	Other disorders of nervous system w/o CC/MCC	2	0.6711	19.8	16.5	4.2
94	Bacterial & tuberculous infections of nervous system w MCC	173	1.0277	28.4	23.7	17.9
95	Bacterial & tuberculous infections of nervous system w CC	34	0.9771	28.2	23.5	11.7
96	Bacterial & tuberculous infections of nervous system w/o CC/MCC	2	0.5268	17.5	14.6	8.9
97	Non-bacterial infect of nervous sys exc viral meningitis w MCC	41	0.9479	22.6	18.8	17.3
98	Non-bacterial infect of nervous sys exc viral meningitis w CC	8	0.6711	19.8	16.5	11.5
99	Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC	0	0.5268	17.5	14.6	8.0
100	Seizures w MCC	16	0.6711	19.8	16.5	8.9
101	Seizures w/o MCC	8	0.5268	17.5	14.6	5.0
102	Headaches w MCC*	6	1.6769	34.8	29.0	6.6
103	Headaches w/o MCC	2	1.6769	34.8	29.0	4.4
113	Orbital procedures w CC/MCC	0	0.6711	19.8	16.5	9.1
114	Orbital procedures w/o CC/MCC	0	0.6711	19.8	16.5	4.5
115	Extraocular procedures except orbit	0	0.6711	19.8	16.5	7.1
116	Intraocular procedures w CC/MCC	0	0.6711	19.8	16.5	8.5
117	Intraocular procedures w/o CC/MCC	0	0.6711	19.8	16.5	3.9
121	Acute major eye infections w CC/MCC	4	0.6711	19.8	16.5	7.4
122	Acute major eye infections w/o CC/MCC	0	0.6711	19.8	16.5	5.7
123	Neurological eye disorders	0	0.6711	19.8	16.5	3.9
124	Other disorders of the eye w MCC	0	0.6711	19.8	16.5	8.1
125	Other disorders of the eye w/o MCC	1	0.6711	19.8	16.5	5.0
129	Major head & neck procedures w CC/MCC or major device	0	1.1274	26.4	22.0	8.4
130	Major head & neck procedures w/o CC/MCC	0	0.8393	22.5	18.8	4.4
131	Cranial/facial procedures w CC/MCC	0	0.6711	19.8	16.5	9.6
132	Cranial/facial procedures w/o CC/MCC	0	0.6711	19.8	16.5	4.2
133	"Other ear, nose, mouth & throat O.R. procedures w CC/MCC"	1	1.6769	34.8	29.0	8.9
134	"Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC"	0	0.6711	19.8	16.5	3.7
135	Sinus & mastoid procedures w CC/MCC	0	0.6711	19.8	16.5	9.3
136	Sinus & mastoid procedures w/o CC/MCC	0	0.6711	19.8	16.5	3.9
137	Mouth procedures w CC/MCC	2	1.1274	26.4	22.0	8.0
138	Mouth procedures w/o CC/MCC	0	0.6711	19.8	16.5	3.8
139	Salivary gland procedures	0	0.6711	19.8	16.5	3.2
146	"Ear, nose, mouth & throat malignancy w MCC"	22	1.1274	26.4	22.0	13.3
147	"Ear, nose, mouth & throat malignancy w CC"	7	0.8393	22.5	18.8	8.4
148	"Ear, nose, mouth & throat malignancy w/o CC/MCC"	0	0.6711	19.8	16.5	4.4
149	Dysequilibrium	1	0.5268	17.5	14.6	3.7
150	Epistaxis w MCC	0	0.6711	19.8	16.5	7.4
151	Epistaxis w/o MCC	0	0.5268	17.5	14.6	4.4
152	Otitis media & URI w MCC	14	0.6711	19.8	16.5	6.8
153	Otitis media & URI w/o MCC	1	0.5268	17.5	14.6	4.6
154	"Other ear, nose, mouth & throat diagnoses w MCC"	25	1.0252	24.0	20.0	8.6
155	"Other ear, nose, mouth & throat diagnoses w CC"	13	0.6711	19.8	16.5	5.9
156	"Other ear, nose, mouth & throat diagnoses w/o CC/MCC"	1	0.6711	19.8	16.5	4.3
157	Dental & Oral Diseases w MCC	11	1.6769	34.8	29.0	9.9
158	Dental & Oral Diseases w CC	9	0.6711	19.8	16.5	5.9
159	Dental & Oral Diseases w/o CC/MCC*	2	0.6711	19.8	16.5	3.9
163	Major chest procedures w MCC	36	2.5614	41.9	34.9	20.2
164	Major chest procedures w CC	1	1.1274	26.4	22.0	10.0
165	Major chest procedures w/o CC/MCC	0	0.8393	22.5	18.8	5.8
166	Other resp system O.R. procedures w MCC	"1,564"	2.4015	41.0	34.2	17.4
167	Other resp system O.R. procedures w CC	63	1.3617	27.7	23.1	10.0
168	Other resp system O.R. procedures w/o CC/MCC	1	0.8393	22.5	18.8	6.0
175	Pulmonary embolism w MCC	67	0.6889	18.6	15.5	9.3
176	Pulmonary embolism w/o MCC	16	0.5268	17.5	14.6	6.3
177	Respiratory infections & inflammations w MCC	"2,066"	0.8517	22.2	18.5	11.8
178	Respiratory infections & inflammations w CC	424	0.6653	19.4	16.2	9.1
179	Respiratory infections & inflammations w/o CC/MCC	21	0.5268	17.5	14.6	6.7
180	Respiratory neoplasms w MCC	33	0.7615	18.5	15.4	10.9
181	Respiratory neoplasms w CC	5	0.6711	19.8	16.5	7.7
182	Respiratory neoplasms w/o CC/MCC	2	0.5268	17.5	14.6	5.2
183	Major chest trauma w MCC	1	1.1274	17.5	14.6	9.2
184	Major chest trauma w CC	0	1.1274	26.4	22.0	6.2
185	Major chest trauma w/o CC/MCC	0	0.8393	22.5	18.8	4.4
186	Pleural effusion w MCC	97	0.8255	20.9	17.4	9.8
187	Pleural effusion w CC*	13	0.6711	19.8	16.5	7.0
188	Pleural effusion w/o CC/MCC*	1	0.6711	19.8	16.5	5.1
189	Pulmonary edema & respiratory failure	"10,461"	0.9148	21.9	18.3	7.9
190	Chronic obstructive pulmonary disease w MCC	850	0.7730	19.7	16.4	7.5
191	Chronic obstructive pulmonary disease w CC	220	0.6476	17.1	14.3	6.2
192	Chronic obstructive pulmonary disease w/o CC/MCC	31	0.5230	13.9	11.6	5.0
193	Simple pneumonia & pleurisy w MCC	811	0.7652	20.1	16.8	9.0
194	Simple pneumonia & pleurisy w CC	332	0.5924	17.1	14.3	6.7
195	Simple pneumonia & pleurisy w/o CC/MCC	24	0.5268	17.5	14.6	5.0
196	Interstitial lung disease w MCC*	45	0.7346	18.3	15.3	10.4
197	Interstitial lung disease w CC*	13	0.7346	18.3	15.3	6.8
198	Interstitial lung disease w/o CC/MCC	0	0.5230	13.9	11.6	5.2
199	Pneumothorax w MCC	56	0.7798	19.8	16.5	11.6
200	Pneumothorax w CC	10	0.6711	19.8	16.5	7.1
201	Pneumothorax w/o CC/MCC*	2	0.6711	19.8	16.5	5.1
202	Bronchitis & asthma w CC/MCC	17	0.8393	22.5	18.8	6.0
203	Bronchitis & asthma w/o CC/MCC	0	0.5230	13.9	11.6	4.6
204	Respiratory signs & symptoms	40	0.6933	18.2	15.2	4.2
205	Other respiratory system diagnoses w MCC	181	0.8845	22.1	18.4	8.6
206	Other respiratory system diagnoses w/o MCC	37	0.6577	18.6	15.5	4.9
207	Respiratory system diagnosis w ventilator support 96+ hours	"14,094"	1.8567	31.8	26.5	20.7
208	Respiratory system diagnosis w ventilator support <96 hours	"1,852"	1.0804	21.6	18.0	11.4
215	Other heart assist system implant	0	1.6769	34.8	29.0	29.0
216	Cardiac valve & oth maj cardiothoracic proc w card cath w MCC	1	1.6769	34.8	29.0	25.4
217	Cardiac valve & oth maj cardiothoracic proc w card cath w CC	0	1.6769	34.8	29.0	14.5
218	Cardiac valve & oth maj cardiothoracic proc w card cath w/o CC/MCC	0	1.6769	34.8	29.0	10.9
219	Cardiac valve & oth maj cardiothoracic proc w/o card cath w MCC	0	1.6769	34.8	29.0	17.7
220	Cardiac valve & oth maj cardiothoracic proc w/o card cath w CC	0	1.6769	34.8	29.0	10.0
221	Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC	0	1.6769	34.8	29.0	7.9
222	Cardiac defib implant w cardiac cath w AMI/HF/shock w MCC	0	1.1274	26.4	22.0	18.4
223	Cardiac defib implant w cardiac cath w AMI/HF/shock w/o MCC	0	1.1274	26.4	22.0	10.5
224	Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC	0	1.1274	26.4	22.0	15.4
225	Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC	0	1.1274	26.4	22.0	7.5
226	Cardiac defibrillator implant w/o cardiac cath w MCC	5	1.6769	34.8	29.0	14.5
227	Cardiac defibrillator implant w/o cardiac cath w/o MCC	3	1.6769	34.8	29.0	7.0
228	Other cardiothoracic procedures w MCC	0	1.6902	34.6	28.8	19.5
229	Other cardiothoracic procedures w CC	0	1.1274	26.4	22.0	11.2
230	Other cardiothoracic procedures w/o CC/MCC	0	1.1274	26.4	22.0	7.2
231	Coronary bypass w PTCA w MCC	0	1.6769	34.8	29.0	18.1
232	Coronary bypass w PTCA w/o MCC	0	1.2854	31.7	26.4	12.1
233	Coronary bypass w cardiac cath w MCC	0	1.6769	34.8	29.0	18.8
234	Coronary bypass w cardiac cath w/o MCC	0	1.2854	31.7	26.4	11.6
235	Coronary bypass w/o cardiac cath w MCC	0	1.6769	34.8	29.0	15.0
236	Coronary bypass w/o cardiac cath w/o MCC	0	1.2854	31.7	26.4	8.7
239	Amputation for circ sys disorders exc upper limb & toe w MCC	47	1.9707	41.4	34.5	21.2
240	Amputation for circ sys disorders exc upper limb & toe w CC	7	1.1274	26.4	22.0	13.2
241	Amputation for circ sys disorders exc upper limb & toe w/o CC/MCC	0	0.8393	22.5	18.8	8.0
242	Permanent cardiac pacemaker implant w MCC*	3	1.1274	26.4	22.0	11.7
243	Permanent cardiac pacemaker implant w CC*	2	1.1274	26.4	22.0	6.9
244	Permanent cardiac pacemaker implant w/o CC/MCC	0	0.8393	22.5	18.8	4.4
245	AICD generator procedures	0	0.8393	22.5	18.8	8.9
246	Perc cardiovasc proc w drug-eluting stent w MCC or 4+ vessels/stents	0	1.6769	34.8	29.0	8.7
247	Perc cardiovasc proc w drug-eluting stent w/o MCC	0	1.2854	31.7	26.4	4.0
248	Perc cardiovasc proc w non-drug-eluting stent w MCC or 4+ ves/stents	0	1.6769	34.8	29.0	10.2
249	Perc cardiovasc proc w non-drug-eluting stent w/o MCC	0	0.8393	22.5	18.8	4.6
250	Perc cardiovasc proc w/o coronary artery stent w MCC	2	1.1274	26.4	22.0	9.1
251	Perc cardiovasc proc w/o coronary artery stent w/o MCC	0	0.8393	22.5	18.8	4.4
252	Other vascular procedures w MCC	71	1.6902	34.6	28.8	13.2
253	Other vascular procedures w CC	9	1.1274	26.4	22.0	9.2
254	Other vascular procedures w/o CC/MCC	0	1.9707	41.4	34.5	4.6
255	Upper limb & toe amputation for circ system disorders w MCC*	12	1.6769	34.8	29.0	13.8
256	Upper limb & toe amputation for circ system disorders w CC	4	1.6769	34.8	29.0	9.9
257	Upper limb & toe amputation for circ system disorders w/o CC/MCC	0	0.8393	22.5	18.8	6.6
258	Cardiac pacemaker device replacement w MCC	0	1.1274	26.4	22.0	10.0
259	Cardiac pacemaker device replacement w/o MCC	0	0.8393	22.5	18.8	5.6
260	Cardiac pacemaker revision except device replacement w MCC	5	1.1274	26.4	22.0	17.0
261	Cardiac pacemaker revision except device replacement w CC	0	1.1274	26.4	22.0	7.0
262	Cardiac pacemaker revision except device replacement w/o CC/MCC	0	0.8393	22.5	18.8	4.6
263	Vein ligation & stripping	0	0.8393	22.5	18.8	9.9
264	Other circulatory system O.R. procedures	224	1.2854	31.7	26.4	13.8
265	AICD lead procedures	0	1.1274	26.4	22.0	7.1
266	Endovascular cardiac valve replacement w MCC	0	1.6769	34.8	29.0	15.0
267	Endovascular cardiac valve replacement w/o MCC	0	1.6769	34.8	29.0	7.7
268	Aortic and heart assist procedures except pulsation balloon w MCC	0	1.6769	34.8	29.0	17.3
269	Aortic and heart assist procedures except pulsation balloon w/o MCC	0	1.2854	31.7	26.4	4.0
270	Other major cardiovascular procedures w MCC	3	1.6769	34.8	29.0	16.2
271	Other major cardiovascular procedures w CC	0	1.1274	26.4	22.0	9.9
272	Other major cardiovascular procedures w/o CC/MCC	0	0.8393	22.5	18.8	4.8
273	Percutaneous intracardiac procedures w MCC	2	1.1274	26.4	22.0	13.1
274	Percutaneous intracardiac procedures  w/o MCC	0	0.8393	22.5	18.8	5.4
280	"Acute myocardial infarction, discharged alive w MCC"	176	0.8656	22.4	18.7	9.2
281	"Acute myocardial infarction, discharged alive w CC*"	25	0.6388	17.4	14.5	5.6
282	"Acute myocardial infarction, discharged alive w/o CC/MCC*"	4	0.6388	17.4	14.5	3.6
283	"Acute myocardial infarction, expired w MCC"	26	1.1160	18.9	15.8	7.4
284	"Acute myocardial infarction, expired w CC"	4	0.5268	17.5	14.6	3.7
285	"Acute myocardial infarction, expired w/o CC/MCC"	0	0.5268	17.5	14.6	2.3
286	"Circulatory disorders except AMI, w card cath w MCC"	12	1.6769	34.8	29.0	11.2
287	"Circulatory disorders except AMI, w card cath w/o MCC"	2	0.8393	22.5	18.8	5.1
288	Acute & subacute endocarditis w MCC	438	1.1630	26.7	22.3	15.4
289	Acute & subacute endocarditis w CC	77	1.0091	27.5	22.9	10.8
290	Acute & subacute endocarditis w/o CC/MCC	5	0.6711	19.8	16.5	6.8
291	Heart failure & shock w MCC	873	0.8482	21.5	17.9	9.2
292	Heart failure & shock w CC	246	0.6185	18.3	15.3	6.7
293	Heart failure & shock w/o CC/MCC*	18	0.6185	18.3	15.3	4.6
294	Deep vein thrombophlebitis w CC/MCC	1	0.5268	17.5	14.6	7.4
295	Deep vein thrombophlebitis w/o CC/MCC	0	0.5268	17.5	14.6	5.7
296	"Cardiac arrest, unexplained w MCC"	0	0.8482	21.5	17.9	4.3
297	"Cardiac arrest, unexplained w CC"	0	0.6185	18.3	15.3	2.2
298	"Cardiac arrest, unexplained w/o CC/MCC"	0	0.6185	18.3	15.3	1.5
299	Peripheral vascular disorders w MCC	225	0.8612	21.8	18.2	8.9
300	Peripheral vascular disorders w CC	76	0.5690	19.2	16.0	6.9
301	Peripheral vascular disorders w/o CC/MCC*	2	0.5690	19.2	16.0	5.0
302	Atherosclerosis w MCC	30	0.8244	22.8	19.0	6.0
303	Atherosclerosis w/o MCC	12	0.6711	19.8	16.5	3.6
304	Hypertension w MCC	2	0.8393	22.5	18.8	6.5
305	Hypertension w/o MCC	2	0.5268	17.5	14.6	4.0
306	Cardiac congenital & valvular disorders w MCC	37	0.9042	22.5	18.8	8.5
307	Cardiac congenital & valvular disorders w/o MCC	13	0.6711	19.8	16.5	5.0
308	Cardiac arrhythmia & conduction disorders w MCC	64	0.7477	19.3	16.1	7.6
309	Cardiac arrhythmia & conduction disorders w CC	15	0.6711	19.8	16.5	5.0
310	Cardiac arrhythmia & conduction disorders w/o CC/MCC*	2	0.6711	19.8	16.5	3.4
311	Angina pectoris	0	0.5268	17.5	14.6	3.4
312	Syncope & collapse	4	0.5268	17.5	14.6	4.5
313	Chest pain	0	0.5268	17.5	14.6	3.2
314	Other circulatory system diagnoses w MCC	"1,029"	1.0204	23.9	19.9	10.9
315	Other circulatory system diagnoses w CC	122	0.6613	20.0	16.7	6.2
316	Other circulatory system diagnoses w/o CC/MCC	11	0.5268	17.5	14.6	3.8
326	"Stomach, esophageal & duodenal proc w MCC"	7	1.6769	34.8	29.0	23.1
327	"Stomach, esophageal & duodenal proc w CC"	1	1.6769	34.8	29.0	12.4
328	"Stomach, esophageal & duodenal proc w/o CC/MCC"	0	0.7084	21.3	17.8	5.2
329	Major small & large bowel procedures w MCC	18	1.6769	34.8	29.0	22.4
330	Major small & large bowel procedures w CC	0	0.7084	21.3	17.8	12.2
331	Major small & large bowel procedures w/o CC/MCC	0	0.7084	21.3	17.8	6.7
332	Rectal resection w MCC	0	1.1274	26.4	22.0	19.7
333	Rectal resection w CC	0	0.7084	21.3	17.8	10.7
334	Rectal resection w/o CC/MCC	0	0.7084	21.3	17.8	6.4
335	Peritoneal adhesiolysis w MCC	5	1.6769	34.8	29.0	20.0
336	Peritoneal adhesiolysis w CC	2	1.6769	34.8	29.0	12.9
337	Peritoneal adhesiolysis w/o CC/MCC	0	0.7084	21.3	17.8	7.8
338	Appendectomy w complicated principal diag w MCC	0	1.6769	34.8	29.0	14.1
339	Appendectomy w complicated principal diag w CC	1	1.6769	34.8	29.0	8.9
340	Appendectomy w complicated principal diag w/o CC/MCC	0	0.7084	21.3	17.8	5.2
341	Appendectomy w/o complicated principal diag w MCC	0	0.9564	23.9	19.9	10.2
342	Appendectomy w/o complicated principal diag w CC	0	0.7084	21.3	17.8	5.4
343	Appendectomy w/o complicated principal diag w/o CC/MCC	0	0.7084	21.3	17.8	2.9
344	Minor small & large bowel procedures w MCC	0	0.9564	23.9	19.9	16.2
345	Minor small & large bowel procedures w CC	0	0.7084	21.3	17.8	9.2
346	Minor small & large bowel procedures w/o CC/MCC	0	0.7084	21.3	17.8	6.0
347	Anal & stomal procedures w MCC	4	1.1274	26.4	22.0	13.4
348	Anal & stomal procedures w CC	0	0.7084	21.3	17.8	8.0
349	Anal & stomal procedures w/o CC/MCC	0	0.7084	21.3	17.8	4.5
350	Inguinal & femoral hernia procedures w MCC	0	0.9564	23.9	19.9	12.4
351	Inguinal & femoral hernia procedures w CC	0	0.7084	21.3	17.8	6.8
352	Inguinal & femoral hernia procedures w/o CC/MCC	0	0.7084	21.3	17.8	3.9
353	Hernia procedures except inguinal & femoral w MCC	0	1.1274	26.4	22.0	13.2
354	Hernia procedures except inguinal & femoral w CC	1	1.1274	26.4	22.0	7.7
355	Hernia procedures except inguinal & femoral w/o CC/MCC	0	1.1274	26.4	22.0	4.7
356	Other digestive system O.R. procedures w MCC	123	1.5995	34.0	28.3	17.8
357	Other digestive system O.R. procedures w CC	7	0.8393	22.5	18.8	10.6
358	Other digestive system O.R. procedures w/o CC/MCC	0	0.7084	21.3	17.8	6.1
368	Major esophageal disorders w MCC	16	1.1274	26.4	22.0	9.7
369	Major esophageal disorders w CC	3	0.6711	19.8	16.5	6.2
370	Major esophageal disorders w/o CC/MCC	0	0.6711	19.8	16.5	4.3
371	Major gastrointestinal disorders & peritoneal infections w MCC	667	0.9564	23.9	19.9	11.9
372	Major gastrointestinal disorders & peritoneal infections w CC	132	0.7084	21.3	17.8	8.3
373	Major gastrointestinal disorders & peritoneal infections w/o CC/MCC*	4	0.7084	21.3	17.8	6.0
374	Digestive malignancy w MCC	25	0.9826	23.7	19.8	12.8
375	Digestive malignancy w CC	5	0.8393	22.5	18.8	8.2
376	Digestive malignancy w/o CC/MCC	0	0.6047	20.2	16.8	5.5
377	G.I. hemorrhage w MCC	50	0.7827	23.2	19.3	9.4
378	G.I. hemorrhage w CC	10	0.5268	17.5	14.6	5.7
379	G.I. hemorrhage w/o CC/MCC	0	0.5268	17.5	14.6	4.0
380	Complicated peptic ulcer w MCC*	23	0.8393	22.5	18.8	11.2
381	Complicated peptic ulcer w CC	3	0.8393	22.5	18.8	6.5
382	Complicated peptic ulcer w/o CC/MCC*	0	0.6047	20.2	16.8	5.0
383	Uncomplicated peptic ulcer w MCC	3	0.5268	17.5	14.6	8.0
384	Uncomplicated peptic ulcer w/o MCC	0	0.5268	17.5	14.6	5.0
385	Inflammatory bowel disease w MCC	14	0.8393	22.5	18.8	11.8
386	Inflammatory bowel disease w CC	4	0.6711	19.8	16.5	7.4
387	Inflammatory bowel disease w/o CC/MCC	0	0.5268	17.5	14.6	5.5
388	G.I. obstruction w MCC	96	1.1681	24.6	20.5	10.9
389	G.I. obstruction w CC	19	0.8393	22.5	18.8	6.7
390	G.I. obstruction w/o CC/MCC	0	0.6047	20.2	16.8	4.7
391	"Esophagitis, gastroent & misc digest disorders w MCC"	179	0.9106	23.2	19.3	7.9
392	"Esophagitis, gastroent & misc digest disorders w/o MCC"	41	0.6047	20.2	16.8	5.1
393	Other digestive system diagnoses w MCC	509	1.0717	25.0	20.8	10.2
394	Other digestive system diagnoses w CC	90	0.8002	21.8	18.2	6.5
395	Other digestive system diagnoses w/o CC/MCC	2	0.5268	17.5	14.6	4.5
405	"Pancreas, liver & shunt procedures w MCC"	7	1.6769	34.8	29.0	23.3
406	"Pancreas, liver & shunt procedures w CC"	0	0.5268	17.5	14.6	11.9
407	"Pancreas, liver & shunt procedures w/o CC/MCC"	0	0.5268	17.5	14.6	7.9
408	Biliary tract proc except only cholecyst w or w/o c.d.e. w MCC	1	0.5268	17.5	14.6	14.6
