"TABLE 11.—  MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2021 THROUGH SEPTEMBER 30, 2022 UNDER THE LTCH PPS"					
MS-LTC-DRG	MS-LTC-DRG Title	FY 2019 LTCH Cases1	Relative Weight	Geometric Average Length of Stay	Short-Stay Outlier (SSO) Threshold2
031	Ventricular shunt procedures with MCC	2	0.8548	23.6	19.7
032	Ventricular shunt procedures with CC	0	0.8548	23.6	19.7
033	Ventricular shunt procedures without CC/MCC	0	0.8548	23.6	19.7
034	Carotid artery stent procedures with MCC	0	1.7482	36.8	30.7
035	Carotid artery stent procedures with CC	0	1.7482	36.8	30.7
036	Carotid artery stent procedures without CC/MCC	0	1.7482	36.8	30.7
037	Extracranial procedures with MCC	4	1.7482	36.8	30.7
038	Extracranial procedures with CC	0	1.7482	36.8	30.7
039	Extracranial procedures without CC/MCC	0	1.7482	36.8	30.7
040	"Peripheral, cranial nerve and other nervous system procedures with MCC"	49	1.3933	34.6	29
041	"Peripheral, cranial nerve and other nervous system procedures with CC or peripheral neurostimulator"	12	0.6374	19.3	16.1
042	"Peripheral, cranial nerve and other nervous system procedures without CC/MCC"	0	0.6374	19.3	16.1
052	Spinal disorders and injuries with CC/MCC	32	0.983	33	27.5
053	Spinal disorders and injuries without CC/MCC	0	0.983	33	27.5
054	Nervous system neoplasms with MCC	7	1.0152	25.2	21.0
055	Nervous system neoplasms without MCC	1	0.6374	19.3	16.1
056	Degenerative nervous system disorders with MCC	636	0.8429	24	20
057	Degenerative nervous system disorders without MCC	346	0.6677	22.5	18.8
058	Multiple sclerosis and cerebellar ataxia with MCC*	2	0.6374	19.3	16.1
059	Multiple sclerosis and cerebellar ataxia with CC*	1	0.6374	19.3	16.1
060	Multiple sclerosis and cerebellar ataxia without CC/MCC	0	0.6374	19.3	16.1
061	"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent with MCC"	0	0.8732	23.4	19.5
062	"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent with CC"	0	0.7303	20.1	16.8
063	"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent without CC/MCC"	0	0.6374	19.3	16.1
064	Intracranial hemorrhage or cerebral infarction with MCC	70	0.9242	24.9	20.8
065	Intracranial hemorrhage or cerebral infarction with CC or tPA in 24 hours	17	0.5193	16.9	14.1
066	Intracranial hemorrhage or cerebral infarction without CC/MCC	1	0.5193	16.9	14.1
067	Nonspecific CVA and precerebral occlusion without infarction with MCC	2	0.6374	19.3	16.1
068	Nonspecific CVA and precerebral occlusion without infarction without MCC	0	0.6374	19.3	16.1
069	Transient ischemia without thrombolytic	2	0.5193	16.9	14.1
070	Nonspecific cerebrovascular disorders with MCC	154	0.8732	23.4	19.5
071	Nonspecific cerebrovascular disorders with CC	40	0.7303	20.1	16.8
072	Nonspecific cerebrovascular disorders without CC/MCC	4	0.6374	19.3	16.1
073	Cranial and peripheral nerve disorders with MCC	38	0.9227	24.8	20.7
074	Cranial and peripheral nerve disorders without MCC*	6	0.9227	24.8	20.7
075	Viral meningitis with CC/MCC	8	0.6374	19.3	16.1
076	Viral meningitis without CC/MCC	0	0.6374	19.3	16.1
077	Hypertensive encephalopathy with MCC	0	0.6374	19.3	16.1
078	Hypertensive encephalopathy with CC	0	0.6374	19.3	16.1
079	Hypertensive encephalopathy without CC/MCC	0	0.6374	19.3	16.1
080	Nontraumatic stupor and coma with MCC	2	1.7482	36.8	30.7
081	Nontraumatic stupor and coma without MCC	1	0.5193	16.9	14.1
082	Traumatic stupor and coma >1 hour with MCC	64	1.0269	28.9	24.1
083	Traumatic stupor and coma >1 hour with CC	27	0.753	23.6	19.7
084	Traumatic stupor and coma >1 hour without CC/MCC	2	0.5193	16.9	14.1
085	Traumatic stupor and coma <1 hour with MCC	27	1.0256	25.7	21.4
086	Traumatic stupor and coma <1 hour with CC	11	0.6374	19.3	16.1
087	Traumatic stupor and coma <1 hour without CC/MCC	0	0.6374	19.3	16.1
088	Concussion with MCC	1	1.7482	36.8	30.7
089	Concussion with CC	0	0.6374	19.3	16.1
090	Concussion without CC/MCC	0	0.6374	19.3	16.1
091	Other disorders of nervous system with MCC	136	0.8704	23.3	19.4
092	Other disorders of nervous system with CC*	38	0.8704	23.3	19.4
093	Other disorders of nervous system without CC/MCC*	1	0.8704	23.3	19.4
094	Bacterial and tuberculous infections of nervous system with MCC	128	1.0664	27.2	22.7
095	Bacterial and tuberculous infections of nervous system with CC	49	0.7534	20.5	17.1
096	Bacterial and tuberculous infections of nervous system without CC/MCC	3	0.5193	16.9	14.1
097	Non-bacterial infection of nervous system except viral meningitis with MCC	48	0.9601	21.9	18.3
098	Non-bacterial infection of nervous system except viral meningitis with CC	17	0.8548	23.6	19.7
099	Non-bacterial infection of nervous system except viral meningitis without CC/MCC	1	0.8548	23.6	19.7
100	Seizures with MCC	47	0.7234	21.5	17.9
101	Seizures without MCC	14	0.6374	19.3	16.1
102	Headaches with MCC	0	0.6374	19.3	16.1
103	Headaches without MCC	0	0.6374	19.3	16.1
113	Orbital procedures with CC/MCC	0	0.6374	19.3	16.1
114	Orbital procedures without CC/MCC	0	0.6374	19.3	16.1
115	Extraocular procedures except orbit	0	0.6374	19.3	16.1
116	Intraocular procedures with CC/MCC	0	0.6374	19.3	16.1
117	Intraocular procedures without CC/MCC	0	0.6374	19.3	16.1
121	Acute major eye infections with CC/MCC	2	1.0152	25.2	21.0
122	Acute major eye infections without CC/MCC	0	0.6374	19.3	16.1
123	Neurological eye disorders	0	0.6374	19.3	16.1
124	Other disorders of the eye with MCC	0	0.6374	19.3	16.1
125	Other disorders of the eye without MCC	0	0.6374	19.3	16.1
135	Sinus and mastoid procedures with CC/MCC	0	0.6374	19.3	16.1
136	Sinus and mastoid procedures without CC/MCC	0	0.6374	19.3	16.1
137	Mouth procedures with CC/MCC	0	0.6374	19.3	16.1
138	Mouth procedures without CC/MCC	0	0.6374	19.3	16.1
139	Salivary gland procedures	0	0.5193	16.9	14.1
140	Major head and neck procedures with MCC	0	0.5193	16.9	14.1
141	Major head and neck procedures with CC	0	0.5193	16.9	14.1
142	Major head and neck procedures without CC/MCC	0	0.5193	16.9	14.1
143	"Other ear, nose, mouth and throat O.R. procedures with MCC*"	1	0.6374	19.3	16.1
144	"Other ear, nose, mouth and throat O.R. procedures with CC*"	1	0.6374	19.3	16.1
145	"Other ear, nose, mouth and throat O.R. procedures without CC/MCC"	0	0.6374	19.3	16.1
146	"Ear, nose, mouth and throat malignancy with MCC"	23	0.8548	23.6	19.7
147	"Ear, nose, mouth and throat malignancy with CC"	10	0.6374	19.3	16.1
148	"Ear, nose, mouth and throat malignancy without CC/MCC"	1	0.5193	16.9	14.1
149	Dysequilibrium	0	0.5193	16.9	14.1
150	Epistaxis with MCC	1	0.8548	23.6	19.7
151	Epistaxis without MCC	0	0.8548	23.6	19.7
152	Otitis media and URI with MCC	10	0.8548	23.6	19.7
153	Otitis media and URI without MCC	6	0.6374	19.3	16.1
154	"Other ear, nose, mouth and throat diagnoses with MCC"	17	1.7482	36.8	30.7
155	"Other ear, nose, mouth and throat diagnoses with CC"	6	0.6374	19.3	16.1
156	"Other ear, nose, mouth and throat diagnoses without CC/MCC"	0	0.6374	19.3	16.1
157	Dental and oral diseases with MCC	14	1.0152	25.2	21.0
158	Dental and oral diseases with CC	10	0.8548	23.6	19.7
159	Dental and oral diseases without CC/MCC	0	0.6374	19.3	16.1
163	Major chest procedures with MCC	59	2.8905	45.2	37.7
164	Major chest procedures with CC	1	0.8548	23.6	19.7
165	Major chest procedures without CC/MCC	0	0.8548	23.6	19.7
166	Other respiratory system O.R. procedures with MCC	"1,640"	2.3481	40	33.3
167	Other respiratory system O.R. procedures with CC	58	1.4259	29.1	24.3
168	Other respiratory system O.R. procedures without CC/MCC	0	1.4259	29.1	24.3
175	Pulmonary embolism with MCC or acute cor pulmonale	39	0.7247	20.6	17.2
176	Pulmonary embolism without MCC*	10	0.7247	20.6	17.2
177	Respiratory infections and inflammations with MCC	"1,248"	0.8328	21.7	18
178	Respiratory infections and inflammations with CC	205	0.5978	18.6	15.5
179	Respiratory infections and inflammations without CC/MCC*	7	0.5978	18.6	15.5
180	Respiratory neoplasms with MCC	14	0.8548	23.6	19.7
181	Respiratory neoplasms with CC	4	0.5193	16.9	14.1
182	Respiratory neoplasms without CC/MCC	0	0.5193	16.9	14.1
183	Major chest trauma with MCC	4	0.6374	19.3	16.1
184	Major chest trauma with CC	2	0.6374	19.3	16.1
185	Major chest trauma without CC/MCC	0	0.6374	19.3	16.1
186	Pleural effusion with MCC	64	0.8205	20.6	17.2
187	Pleural effusion with CC	9	0.6374	19.3	16.1
188	Pleural effusion without CC/MCC	0	0.6374	19.3	16.1
189	Pulmonary edema and respiratory failure	"14,368"	0.9448	21.3	17.8
190	Chronic obstructive pulmonary disease with MCC	372	0.7301	18.9	15.8
191	Chronic obstructive pulmonary disease with CC	61	0.6565	16.3	13.6
192	Chronic obstructive pulmonary disease without CC/MCC*	9	0.6565	16.3	13.6
193	Simple pneumonia and pleurisy with MCC	466	0.7067	19	15.8
194	Simple pneumonia and pleurisy with CC	112	0.6158	17.9	14.9
195	Simple pneumonia and pleurisy without CC/MCC	4	0.5193	16.9	14.1
196	Interstitial lung disease with MCC*	12	0.6374	19.3	16.1
197	Interstitial lung disease with CC*	8	0.5193	16.9	14.1
198	Interstitial lung disease without CC/MCC*	1	0.5193	16.9	14.1
199	Pneumothorax with MCC	48	0.5944	17.9	14.9
200	Pneumothorax with CC*	8	0.5944	17.9	14.9
201	Pneumothorax without CC/MCC*	1	0.5944	17.9	14.9
202	Bronchitis and asthma with CC/MCC	20	1.0152	25.2	21.0
203	Bronchitis and asthma without CC/MCC	1	0.5193	16.9	14.1
204	Respiratory signs and symptoms	15	1.7482	36.8	30.7
205	Other respiratory system diagnoses with MCC	78	0.91	23.1	19.3
206	Other respiratory system diagnoses without MCC	13	0.8548	23.6	19.7
207	Respiratory system diagnosis with ventilator support >96 hours	"11,542"	1.88	32	26.7
208	Respiratory system diagnosis with ventilator support <=96 hours	"1,500"	1.1402	22.1	18.4
215	Other heart assist system implant	0	1.9393	33.8	28.2
216	Cardiac valve and other major cardiothoracic procedures with cardiac catheterization with MCC	0	1.9393	33.8	28.2
217	Cardiac valve and other major cardiothoracic procedures with cardiac catheterization with CC	0	1.9393	33.8	28.2
218	Cardiac valve and other major cardiothoracic procedures with cardiac catheterization without CC/MCC	0	1.9393	33.8	28.2
219	Cardiac valve and other major cardiothoracic procedures without cardiac catheterization with MCC	0	1.9393	33.8	28.2
220	Cardiac valve and other major cardiothoracic procedures without cardiac catheterization with CC	0	1.9393	33.8	28.2
221	Cardiac valve and other major cardiothoracic procedures without cardiac catheterization without CC/MCC	0	1.9393	33.8	28.2
222	"Cardiac defibrillator implant with cardiac catheterization with AMI, HF or shock with MCC"	0	1.7482	36.8	30.7
223	"Cardiac defibrillator implant with cardiac catheterization with AMI, HF or shock without MCC"	0	1.7482	36.8	30.7
224	"Cardiac defibrillator implant with cardiac catheterization without AMI, HF or shock with MCC"	0	1.0152	25.2	21.0
225	"Cardiac defibrillator implant with cardiac catheterization without AMI, HF or shock without MCC"	0	1.0152	25.2	21.0
226	Cardiac defibrillator implant without cardiac catheterization with MCC	2	1.0152	25.2	21.0
227	Cardiac defibrillator implant without cardiac catheterization without MCC	0	1.0152	25.2	21.0
228	Other cardiothoracic procedures with MCC	2	1.0152	25.2	21.0
229	Other cardiothoracic procedures without MCC	0	1.0152	25.2	21.0
231	Coronary bypass with PTCA with MCC	0	1.9393	33.8	28.2
232	Coronary bypass with PTCA without MCC	0	1.9393	33.8	28.2
233	Coronary bypass with cardiac catheterization or open ablation with MCC	0	1.9393	33.8	28.2
234	Coronary bypass with cardiac catheterization or open ablation without MCC	0	1.9393	33.8	28.2
235	Coronary bypass without cardiac catheterization with MCC	0	1.9393	33.8	28.2
236	Coronary bypass without cardiac catheterization without MCC	0	1.9393	33.8	28.2
239	Amputation for circulatory system disorders except upper limb and toe with MCC	40	1.8847	39.8	33.2
240	Amputation for circulatory system disorders except upper limb and toe with CC	2	1.7482	36.8	30.7
241	Amputation for circulatory system disorders except upper limb and toe without CC/MCC	0	1.7482	36.8	30.7
242	Permanent cardiac pacemaker implant with MCC	10	1.7482	36.8	30.7
243	Permanent cardiac pacemaker implant with CC	1	1.0152	25.2	21.0
244	Permanent cardiac pacemaker implant without CC/MCC	0	1.0152	25.2	21.0
245	AICD generator procedures	0	1.0152	25.2	21.0
246	Percutaneous cardiovascular procedures with drug-eluting stent with MCC or 4+ arteries or stents	3	1.7482	36.8	30.7
247	Percutaneous cardiovascular procedures with drug-eluting stent without MCC	0	1.7482	36.8	30.7
248	Percutaneous cardiovascular procedures with non-drug-eluting stent with MCC or 4+ arteries or stents	0	1.7482	36.8	30.7
249	Percutaneous cardiovascular procedures with non-drug-eluting stent without MCC	0	1.7482	36.8	30.7
250	Percutaneous cardiovascular procedures without coronary artery stent with MCC	0	1.7482	36.8	30.7
251	Percutaneous cardiovascular procedures without coronary artery stent without MCC	0	1.7482	36.8	30.7
252	Other vascular procedures with MCC	34	1.9393	33.8	28.2
253	Other vascular procedures with CC	0	1.9393	33.8	28.2
254	Other vascular procedures without CC/MCC	0	1.9393	33.8	28.2
255	Upper limb and toe amputation for circulatory system disorders with MCC	8	1.7482	36.8	30.7
256	Upper limb and toe amputation for circulatory system disorders with CC	4	1.7482	36.8	30.7
257	Upper limb and toe amputation for circulatory system disorders without CC/MCC	0	1.7482	36.8	30.7
258	Cardiac pacemaker device replacement with MCC	1	1.0152	25.2	21.0
259	Cardiac pacemaker device replacement without MCC	0	1.0152	25.2	21.0
260	Cardiac pacemaker revision except device replacement with MCC	1	1.7482	36.8	30.7
261	Cardiac pacemaker revision except device replacement with CC	1	1.7482	36.8	30.7
262	Cardiac pacemaker revision except device replacement without CC/MCC	0	1.0152	25.2	21.0
263	Vein ligation and stripping	0	1.3506	32.1	26.8
264	Other circulatory system O.R. procedures	169	1.3506	32.1	26.8
265	AICD lead procedures	0	1.0152	25.2	21.0
266	Endovascular cardiac valve replacement and supplement procedures with MCC	0	1.3506	32.1	26.8
267	Endovascular cardiac valve replacement and supplement procedures without MCC	0	1.3506	32.1	26.8
268	Aortic and heart assist procedures except pulsation balloon with MCC	1	0.6374	19.3	16.1
269	Aortic and heart assist procedures except pulsation balloon without MCC	0	0.6374	19.3	16.1
270	Other major cardiovascular procedures with MCC	6	1.7482	36.8	30.7
271	Other major cardiovascular procedures with CC	2	1.0152	25.2	21.0
272	Other major cardiovascular procedures without CC/MCC	0	1.0152	25.2	21.0
273	Percutaneous and other intracardiac procedures with MCC	0	1.0152	25.2	21.0
274	Percutaneous and other intracardiac procedures without MCC	0	1.0152	25.2	21.0
280	"Acute myocardial infarction, discharged alive with MCC"	207	0.8997	23.4	19.5
281	"Acute myocardial infarction, discharged alive with CC"	20	0.5193	16.9	14.1
282	"Acute myocardial infarction, discharged alive without CC/MCC"	3	0.5193	16.9	14.1
283	"Acute myocardial infarction, expired with MCC"	38	0.8942	17.5	14.6
284	"Acute myocardial infarction, expired with CC"	1	0.5193	16.9	14.1
285	"Acute myocardial infarction, expired without CC/MCC"	0	0.5193	16.9	14.1
286	"Circulatory disorders except AMI, with cardiac catheterization with MCC"	9	1.7482	36.8	30.7
287	"Circulatory disorders except AMI, with cardiac catheterization without MCC"	1	1.0152	25.2	21.0
288	Acute and subacute endocarditis with MCC	426	1.1433	25.5	21.3
289	Acute and subacute endocarditis with CC	74	0.7801	23.5	19.6
290	Acute and subacute endocarditis without CC/MCC*	2	0.7801	23.5	19.6
291	Heart failure and shock with MCC	"1,065"	0.8559	21.3	17.8
292	Heart failure and shock with CC	101	0.5865	18.2	15
293	Heart failure and shock without CC/MCC*	4	0.5865	18.2	15
294	Deep vein thrombophlebitis with CC/MCC	1	0.8548	23.6	19.7
295	Deep vein thrombophlebitis without CC/MCC	0	0.8548	23.6	19.7
296	"Cardiac arrest, unexplained with MCC"	1	0.5193	16.9	14.1
297	"Cardiac arrest, unexplained with CC"	1	0.5193	16.9	14.1
298	"Cardiac arrest, unexplained without CC/MCC"	0	0.5193	16.9	14.1
299	Peripheral vascular disorders with MCC	199	0.8461	22.6	18.8
300	Peripheral vascular disorders with CC	51	0.4916	18.6	15.5
301	Peripheral vascular disorders without CC/MCC	0	0.4916	18.6	15.5
302	Atherosclerosis with MCC	33	1.0076	24.8	20.7
303	Atherosclerosis without MCC	9	0.6374	19.3	16.1
304	Hypertension with MCC	4	1.7482	36.8	30.7
305	Hypertension without MCC	4	1.0152	25.2	21.0
306	Cardiac congenital and valvular disorders with MCC	32	0.8363	22.5	18.8
307	Cardiac congenital and valvular disorders without MCC	11	0.5193	16.9	14.1
308	Cardiac arrhythmia and conduction disorders with MCC	54	0.7024	19.7	16.4
309	Cardiac arrhythmia and conduction disorders with CC*	20	0.7024	19.7	16.4
310	Cardiac arrhythmia and conduction disorders without CC/MCC*	2	0.5193	16.9	14.1
311	Angina pectoris	0	0.5193	16.9	14.1
312	Syncope and collapse	8	1.0152	25.2	21.0
313	Chest pain	0	0.5193	16.9	14.1
314	Other circulatory system diagnoses with MCC	936	1.0665	24.7	20.6
315	Other circulatory system diagnoses with CC	99	0.6321	20.3	16.9
316	Other circulatory system diagnoses without CC/MCC*	4	0.6321	20.3	16.9
319	Other endovascular cardiac valve procedures with MCC	0	1.7482	36.8	30.7
320	Other endovascular cardiac valve procedures without MCC	0	1.7482	36.8	30.7
326	"Stomach, esophageal and duodenal procedures with MCC"	4	1.7482	36.8	30.7
327	"Stomach, esophageal and duodenal procedures with CC"	1	1.0152	25.2	21.0
328	"Stomach, esophageal and duodenal procedures without CC/MCC"	0	0.5193	16.9	14.1
329	Major small and large bowel procedures with MCC	5	1.7482	36.8	30.7
330	Major small and large bowel procedures with CC	2	1.7482	36.8	30.7
331	Major small and large bowel procedures without CC/MCC	0	0.5193	16.9	14.1
332	Rectal resection with MCC	0	0.6142	18.9	15.8
333	Rectal resection with CC	0	0.6142	18.9	15.8
334	Rectal resection without CC/MCC	0	0.5193	16.9	14.1
335	Peritoneal adhesiolysis with MCC	1	1.7482	36.8	30.7
336	Peritoneal adhesiolysis with CC	0	0.6142	18.9	15.8
337	Peritoneal adhesiolysis without CC/MCC	0	0.5193	16.9	14.1
338	Appendectomy with complicated principal diagnosis with MCC	0	0.9479	23.3	19.4
339	Appendectomy with complicated principal diagnosis with CC	0	0.6142	18.9	15.8
340	Appendectomy with complicated principal diagnosis without CC/MCC	0	0.5193	16.9	14.1
341	Appendectomy without complicated principal diagnosis with MCC	1	0.8548	23.6	19.7
342	Appendectomy without complicated principal diagnosis with CC	0	0.8548	23.6	19.7
343	Appendectomy without complicated principal diagnosis without CC/MCC	0	0.8548	23.6	19.7
344	Minor small and large bowel procedures with MCC	2	0.8548	23.6	19.7
345	Minor small and large bowel procedures with CC	0	0.6142	18.9	15.8
346	Minor small and large bowel procedures without CC/MCC	0	0.5193	16.9	14.1
347	Anal and stomal procedures with MCC	0	0.6142	18.9	15.8
348	Anal and stomal procedures with CC	0	0.6142	18.9	15.8
349	Anal and stomal procedures without CC/MCC	0	0.5193	16.9	14.1
350	Inguinal and femoral hernia procedures with MCC	0	0.9479	23.3	19.4
351	Inguinal and femoral hernia procedures with CC	0	0.6142	18.9	15.8
352	Inguinal and femoral hernia procedures without CC/MCC	0	0.5193	16.9	14.1
353	Hernia procedures except inguinal and femoral with MCC	2	1.0152	25.2	21.0
354	Hernia procedures except inguinal and femoral with CC	0	0.6142	18.9	15.8
355	Hernia procedures except inguinal and femoral without CC/MCC	0	0.5193	16.9	14.1
356	Other digestive system O.R. procedures with MCC	113	1.6086	35.2	29.3
357	Other digestive system O.R. procedures with CC	8	0.8548	23.6	19.7
358	Other digestive system O.R. procedures without CC/MCC	0	0.8548	23.6	19.7
368	Major esophageal disorders with MCC	10	1.0152	25.2	21.0
369	Major esophageal disorders with CC	3	0.5193	16.9	14.1
370	Major esophageal disorders without CC/MCC	0	0.5193	16.9	14.1
371	Major gastrointestinal disorders and peritoneal infections with MCC	516	0.9479	23.3	19.4
372	Major gastrointestinal disorders and peritoneal infections with CC	84	0.6142	18.9	15.8
373	Major gastrointestinal disorders and peritoneal infections without CC/MCC	6	0.5193	16.9	14.1
374	Digestive malignancy with MCC	21	1.0152	25.2	21.0
375	Digestive malignancy with CC	3	0.6374	19.3	16.1
376	Digestive malignancy without CC/MCC	0	0.6374	19.3	16.1
377	Gastrointestinal hemorrhage with MCC	39	0.8246	20.2	16.8
378	Gastrointestinal hemorrhage with CC	11	0.6374	19.3	16.1
379	Gastrointestinal hemorrhage without CC/MCC	0	0.6374	19.3	16.1
380	Complicated peptic ulcer with MCC	30	1.012	27.5	22.9
381	Complicated peptic ulcer with CC	0	1.012	27.5	22.9
382	Complicated peptic ulcer without CC/MCC	0	1.012	27.5	22.9
383	Uncomplicated peptic ulcer with MCC	8	0.5193	16.9	14.1
384	Uncomplicated peptic ulcer without MCC	3	0.5193	16.9	14.1
385	Inflammatory bowel disease with MCC	31	0.9176	23.2	19.3
386	Inflammatory bowel disease with CC*	4	0.9176	23.2	19.3
387	Inflammatory bowel disease without CC/MCC	0	0.9176	23.2	19.3
388	Gastrointestinal obstruction with MCC	121	0.9436	22.8	19
389	Gastrointestinal obstruction with CC	31	0.6979	20.6	17.2
390	Gastrointestinal obstruction without CC/MCC	0	0.6979	20.6	17.2
391	"Esophagitis, gastroenteritis and miscellaneous digestive disorders with MCC"	199	0.8619	22.7	18.9
392	"Esophagitis, gastroenteritis and miscellaneous digestive disorders without MCC"	48	0.6622	19.9	16.6
393	Other digestive system diagnoses with MCC	502	1.1208	26.7	22.3
394	Other digestive system diagnoses with CC	72	0.8387	22.5	18.8
395	Other digestive system diagnoses without CC/MCC*	3	0.8387	22.5	18.8
405	"Pancreas, liver and shunt procedures with MCC"	4	1.7482	36.8	30.7
406	"Pancreas, liver and shunt procedures with CC"	0	0.6142	18.9	15.8
407	"Pancreas, liver and shunt procedures without CC/MCC"	0	0.5193	16.9	14.1
408	Biliary tract procedures except only cholecystectomy with or without C.D.E. with MCC	3	0.8548	23.6	19.7
409	Biliary tract procedures except only cholecystectomy with or without C.D.E. with CC	0	0.6142	18.9	15.8
410	Biliary tract procedures except only cholecystectomy with or without C.D.E. without CC/MCC	0	0.5193	16.9	14.1
411	Cholecystectomy with C.D.E. with MCC	0	0.8548	23.6	19.7
412	Cholecystectomy with C.D.E. with CC	0	0.6142	18.9	15.8
413	Cholecystectomy with C.D.E. without CC/MCC	0	0.5193	16.9	14.1
414	Cholecystectomy except by laparoscope without C.D.E. with MCC	1	0.6374	19.3	16.1
415	Cholecystectomy except by laparoscope without C.D.E. with CC	0	0.6142	18.9	15.8
416	Cholecystectomy except by laparoscope without C.D.E. without CC/MCC	0	0.5193	16.9	14.1
417	Laparoscopic cholecystectomy without C.D.E. with MCC	3	1.7482	36.8	30.7
418	Laparoscopic cholecystectomy without C.D.E. with CC	1	0.5193	16.9	14.1
419	Laparoscopic cholecystectomy without C.D.E. without CC/MCC	0	0.5193	16.9	14.1
420	Hepatobiliary diagnostic procedures with MCC	1	1.0152	25.2	21.0
421	Hepatobiliary diagnostic procedures with CC	0	1.0152	25.2	21.0
422	Hepatobiliary diagnostic procedures without CC/MCC	0	1.0152	25.2	21.0
423	Other hepatobiliary or pancreas O.R. procedures with MCC	15	1.7482	36.8	30.7
424	Other hepatobiliary or pancreas O.R. procedures with CC	1	0.5193	16.9	14.1
425	Other hepatobiliary or pancreas O.R. procedures without CC/MCC	0	0.5193	16.9	14.1
432	Cirrhosis and alcoholic hepatitis with MCC	85	0.8313	20.9	17.4
433	Cirrhosis and alcoholic hepatitis with CC*	9	0.8313	20.9	17.4
434	Cirrhosis and alcoholic hepatitis without CC/MCC	0	0.8313	20.9	17.4
435	Malignancy of hepatobiliary system or pancreas with MCC	12	0.8548	23.6	19.7
436	Malignancy of hepatobiliary system or pancreas with CC	3	0.5193	16.9	14.1
437	Malignancy of hepatobiliary system or pancreas without CC/MCC	0	0.5193	16.9	14.1
438	Disorders of pancreas except malignancy with MCC	142	1.117	25.3	21.1
439	Disorders of pancreas except malignancy with CC	14	0.8548	23.6	19.7
440	Disorders of pancreas except malignancy without CC/MCC	3	0.5193	16.9	14.1
441	"Disorders of liver except malignancy, cirrhosis or alcoholic hepatitis with MCC"	92	0.8511	21.7	18.1
442	"Disorders of liver except malignancy, cirrhosis or alcoholic hepatitis with CC"	18	0.6374	19.3	16.1
443	"Disorders of liver except malignancy, cirrhosis or alcoholic hepatitis without CC/MCC"	2	0.5193	16.9	14.1
444	Disorders of the biliary tract with MCC	90	0.8138	22.3	18.6
445	Disorders of the biliary tract with CC	31	0.6187	20.2	16.8
