"TABLE 11.—  MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2022 THROUGH SEPTEMBER 30, 2023 UNDER THE LTCH PPS"					
MS-LTC-DRG	MS-LTC-DRG Title	FY 2021 LTCH Cases1	Relative Weight2	Geometric Average Length of Stay2	Short-Stay Outlier (SSO) Threshold3
022	Intracranial vascular procedures with principal diagnosis hemorrhage without CC/MCC	0	0.4651	15.7	13.1
023	Craniotomy with major device implant or acute complex CNS principal diagnosis with MCC or chemotherapy implant or epilepsy with neurostimulator	1	1.3482	31.9	26.6
024	Craniotomy with major device implant or acute complex CNS principal diagnosis without MCC	0	0.4651	15.7	13.1
025	Craniotomy and endovascular intracranial procedures with MCC	1	0.6366	19.3	16.1
026	Craniotomy and endovascular intracranial procedures with CC	0	0.4651	15.7	13.1
027	Craniotomy and endovascular intracranial procedures without CC/MCC	0	0.4651	15.7	13.1
028	Spinal procedures with MCC	0	0.6366	19.3	16.1
029	Spinal procedures with CC or spinal neurostimulators	0	0.6366	19.3	16.1
030	Spinal procedures without CC/MCC	0	0.6366	19.3	16.1
031	Ventricular shunt procedures with MCC	0	0.6366	19.3	16.1
032	Ventricular shunt procedures with CC	1	0.6366	19.3	16.1
033	Ventricular shunt procedures without CC/MCC	0	0.4651	15.7	13.1
034	Carotid artery stent procedures with MCC	0	0.7985	20.4	17.0
035	Carotid artery stent procedures with CC	0	0.6366	19.3	16.1
036	Carotid artery stent procedures without CC/MCC	0	0.6366	19.3	16.1
037	Extracranial procedures with MCC	0	1.3482	31.9	26.6
038	Extracranial procedures with CC	0	1.3482	31.9	26.6
039	Extracranial procedures without CC/MCC	0	1.3482	31.9	26.6
040	"Peripheral, cranial nerve and other nervous system procedures with MCC"	60	1.3858	34.7	28.9
041	"Peripheral, cranial nerve and other nervous system procedures with CC or peripheral neurostimulator"	5	0.7813	21.1	17.6
042	"Peripheral, cranial nerve and other nervous system procedures without CC/MCC"	0	0.7813	21.1	17.6
052	Spinal disorders and injuries with CC/MCC	28	1.2064	34.0	28.3
053	Spinal disorders and injuries without CC/MCC	1	0.4651	15.7	13.1
054	Nervous system neoplasms with MCC	4	1.2026	29.6	24.7
055	Nervous system neoplasms without MCC	0	0.6458	22.8	19.0
056	Degenerative nervous system disorders with MCC	366	0.8659	24.9	20.8
057	Degenerative nervous system disorders without MCC	199	0.6458	22.8	19.0
058	Multiple sclerosis and cerebellar ataxia with MCC	2	0.4651	15.7	13.1
059	Multiple sclerosis and cerebellar ataxia with CC	1	0.4651	15.7	13.1
060	Multiple sclerosis and cerebellar ataxia without CC/MCC	0	0.4651	15.7	13.1
061	"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent with MCC"	0	0.8329	23.5	19.6
062	"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent with CC"	0	0.6564	22.1	18.4
063	"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent without CC/MCC"	0	0.4651	15.7	13.1
064	Intracranial hemorrhage or cerebral infarction with MCC	47	0.8307	22.9	19.1
065	Intracranial hemorrhage or cerebral infarction with CC or tPA in 24 hours	3	0.4651	15.7	13.1
066	Intracranial hemorrhage or cerebral infarction without CC/MCC	1	0.4651	15.7	13.1
067	Nonspecific CVA and precerebral occlusion without infarction with MCC	0	0.4651	15.7	13.1
068	Nonspecific CVA and precerebral occlusion without infarction without MCC	0	0.4651	15.7	13.1
069	Transient ischemia without thrombolytic	1	0.4651	15.7	13.1
070	Nonspecific cerebrovascular disorders with MCC	105	0.8329	23.5	19.6
071	Nonspecific cerebrovascular disorders with CC	35	0.6564	22.1	18.4
072	Nonspecific cerebrovascular disorders without CC/MCC	4	0.4651	15.7	13.1
073	Cranial and peripheral nerve disorders with MCC	20	0.7813	21.1	17.6
074	Cranial and peripheral nerve disorders without MCC	7	0.6366	19.3	16.1
075	Viral meningitis with CC/MCC	3	0.6366	19.3	16.1
076	Viral meningitis without CC/MCC	0	0.6366	19.3	16.1
077	Hypertensive encephalopathy with MCC	1	0.6366	19.3	16.1
078	Hypertensive encephalopathy with CC	1	0.4651	15.7	13.1
079	Hypertensive encephalopathy without CC/MCC	0	0.4651	15.7	13.1
080	Nontraumatic stupor and coma with MCC	3	1.0424	26.9	22.4
081	Nontraumatic stupor and coma without MCC	0	1.0424	26.9	22.4
082	Traumatic stupor and coma >1 hour with MCC	60	0.9365	26.3	21.9
083	Traumatic stupor and coma >1 hour with CC	21	0.6366	19.3	16.1
084	Traumatic stupor and coma >1 hour without CC/MCC	1	0.4651	15.7	13.1
085	Traumatic stupor and coma <1 hour with MCC	15	1.0424	26.9	22.4
086	Traumatic stupor and coma <1 hour with CC	5	0.6366	19.3	16.1
087	Traumatic stupor and coma <1 hour without CC/MCC	1	0.6366	19.3	16.1
088	Concussion with MCC	0	1.0424	26.9	22.4
089	Concussion with CC	0	0.6366	19.3	16.1
090	Concussion without CC/MCC	0	0.6366	19.3	16.1
091	Other disorders of nervous system with MCC	97	0.9279	24.6	20.5
092	Other disorders of nervous system with CC*+	35	0.7824	20.1	16.8
093	Other disorders of nervous system without CC/MCC*+	2	0.6206	20.1	16.8
094	Bacterial and tuberculous infections of nervous system with MCC	75	1.0948	27.4	22.8
095	Bacterial and tuberculous infections of nervous system with CC*+	28	0.7339	22.6	18.8
096	Bacterial and tuberculous infections of nervous system without CC/MCC*+	4	0.7339	22.6	18.8
097	Non-bacterial infection of nervous system except viral meningitis with MCC	38	0.9115	25.1	20.9
098	Non-bacterial infection of nervous system except viral meningitis with CC	13	0.6366	19.3	16.1
099	Non-bacterial infection of nervous system except viral meningitis without CC/MCC	0	0.6366	19.3	16.1
100	Seizures with MCC	24	0.7813	21.1	17.6
101	Seizures without MCC	13	0.6366	19.3	16.1
102	Headaches with MCC	1	1.0424	26.9	22.4
103	Headaches without MCC	0	0.6366	19.3	16.1
113	Orbital procedures with CC/MCC	0	0.7813	21.1	17.6
114	Orbital procedures without CC/MCC	0	0.7813	21.1	17.6
115	Extraocular procedures except orbit	0	0.7813	21.1	17.6
116	Intraocular procedures with CC/MCC	0	0.7813	21.1	17.6
117	Intraocular procedures without CC/MCC	0	0.7813	21.1	17.6
121	Acute major eye infections with CC/MCC	3	0.6366	19.3	16.1
122	Acute major eye infections without CC/MCC	0	0.6366	19.3	16.1
123	Neurological eye disorders	0	0.6366	19.3	16.1
124	Other disorders of the eye with MCC	0	0.7813	21.1	17.6
125	Other disorders of the eye without MCC	0	0.6366	19.3	16.1
135	Sinus and mastoid procedures with CC/MCC	0	0.7813	21.1	17.6
136	Sinus and mastoid procedures without CC/MCC	0	0.7813	21.1	17.6
137	Mouth procedures with CC/MCC	0	0.7813	21.1	17.6
138	Mouth procedures without CC/MCC	0	0.7813	21.1	17.6
139	Salivary gland procedures	0	0.7813	21.1	17.6
140	Major head and neck procedures with MCC	0	0.7813	21.1	17.6
141	Major head and neck procedures with CC	0	0.7813	21.1	17.6
142	Major head and neck procedures without CC/MCC	0	0.7813	21.1	17.6
143	"Other ear, nose, mouth and throat O.R. procedures with MCC"	1	0.7813	21.1	17.6
144	"Other ear, nose, mouth and throat O.R. procedures with CC"	0	0.7813	21.1	17.6
145	"Other ear, nose, mouth and throat O.R. procedures without CC/MCC"	0	0.7813	21.1	17.6
146	"Ear, nose, mouth and throat malignancy with MCC"	16	1.3482	31.9	26.6
147	"Ear, nose, mouth and throat malignancy with CC"	4	1.0424	26.9	22.4
148	"Ear, nose, mouth and throat malignancy without CC/MCC"	0	0.6366	19.3	16.1
149	Dysequilibrium	0	0.6366	19.3	16.1
150	Epistaxis with MCC	0	1.0424	26.9	22.4
151	Epistaxis without MCC	0	0.6366	19.3	16.1
152	Otitis media and URI with MCC	8	0.9068	24.0	20.0
153	Otitis media and URI without MCC	0	0.6366	19.3	16.1
154	"Other ear, nose, mouth and throat diagnoses with MCC"	7	1.0424	26.9	22.4
155	"Other ear, nose, mouth and throat diagnoses with CC"	4	0.7813	21.1	17.6
156	"Other ear, nose, mouth and throat diagnoses without CC/MCC"	1	0.6366	19.3	16.1
157	Dental and oral diseases with MCC	12	1.0424	26.9	22.4
158	Dental and oral diseases with CC	9	0.7813	21.1	17.6
159	Dental and oral diseases without CC/MCC	0	0.6366	19.3	16.1
163	Major chest procedures with MCC	54	2.9476	42.3	35.3
164	Major chest procedures with CC	3	1.0424	26.9	22.4
165	Major chest procedures without CC/MCC	0	1.0424	26.9	22.4
166	Other respiratory system O.R. procedures with MCC	"1,681"	2.4576	39.8	33.2
167	Other respiratory system O.R. procedures with CC	46	1.6263	30.6	25.5
168	Other respiratory system O.R. procedures without CC/MCC	1	1.3482	31.9	26.6
175	Pulmonary embolism with MCC or acute cor pulmonale*+	19	1.0424	26.9	22.4
176	Pulmonary embolism without MCC*+	12	1.0424	26.9	22.4
177	Respiratory infections and inflammations with MCC	"3,737"	0.7934	21.0	17.5
178	Respiratory infections and inflammations with CC*	109	0.6326	19.0	15.8
179	Respiratory infections and inflammations without CC/MCC*	10	0.6218	18.7	15.6
180	Respiratory neoplasms with MCC	11	0.7813	21.1	17.6
181	Respiratory neoplasms with CC	5	0.4651	15.7	13.1
182	Respiratory neoplasms without CC/MCC	1	0.4651	15.7	13.1
183	Major chest trauma with MCC	0	0.7813	21.1	17.6
184	Major chest trauma with CC	1	0.4651	15.7	13.1
185	Major chest trauma without CC/MCC	0	0.4651	15.7	13.1
186	Pleural effusion with MCC	26	0.7375	18.1	15.1
187	Pleural effusion with CC	2	0.4651	15.7	13.1
188	Pleural effusion without CC/MCC	0	0.4651	15.7	13.1
189	Pulmonary edema and respiratory failure	"9,196"	0.9606	21.4	17.8
190	Chronic obstructive pulmonary disease with MCC	130	0.7011	18.9	15.8
191	Chronic obstructive pulmonary disease with CC	25	0.5901	15.5	12.9
192	Chronic obstructive pulmonary disease without CC/MCC	1	0.4651	15.7	13.1
193	Simple pneumonia and pleurisy with MCC	149	0.8642	20.1	16.8
194	Simple pneumonia and pleurisy with CC	36	0.5535	16.2	13.5
195	Simple pneumonia and pleurisy without CC/MCC	0	0.5535	16.2	13.5
196	Interstitial lung disease with MCC	9	0.7813	21.1	17.6
197	Interstitial lung disease with CC	2	0.6366	19.3	16.1
198	Interstitial lung disease without CC/MCC	1	0.4651	15.7	13.1
199	Pneumothorax with MCC	19	0.7813	21.1	17.6
200	Pneumothorax with CC	6	0.4651	15.7	13.1
201	Pneumothorax without CC/MCC	0	0.4651	15.7	13.1
202	Bronchitis and asthma with CC/MCC	11	0.6366	19.3	16.1
203	Bronchitis and asthma without CC/MCC	0	0.5535	16.2	13.5
204	Respiratory signs and symptoms	7	0.7813	21.1	17.6
205	Other respiratory system diagnoses with MCC	57	1.0784	23.1	19.3
206	Other respiratory system diagnoses without MCC	8	0.6366	19.3	16.1
207	Respiratory system diagnosis with ventilator support >96 hours	"10,296"	1.8822	31.5	26.3
208	Respiratory system diagnosis with ventilator support <=96 hours	"1,326"	1.1097	21.6	18.0
215	Other heart assist system implant	0	1.3482	31.9	26.6
216	Cardiac valve and other major cardiothoracic procedures with cardiac catheterization with MCC	0	1.3482	31.9	26.6
217	Cardiac valve and other major cardiothoracic procedures with cardiac catheterization with CC	0	1.3482	31.9	26.6
218	Cardiac valve and other major cardiothoracic procedures with cardiac catheterization without CC/MCC	0	1.3482	31.9	26.6
219	Cardiac valve and other major cardiothoracic procedures without cardiac catheterization with MCC	0	1.3482	31.9	26.6
220	Cardiac valve and other major cardiothoracic procedures without cardiac catheterization with CC	0	1.3482	31.9	26.6
221	Cardiac valve and other major cardiothoracic procedures without cardiac catheterization without CC/MCC	0	1.3482	31.9	26.6
222	"Cardiac defibrillator implant with cardiac catheterization with AMI, HF or shock with MCC"	0	1.3482	31.9	26.6
223	"Cardiac defibrillator implant with cardiac catheterization with AMI, HF or shock without MCC"	0	1.3482	31.9	26.6
224	"Cardiac defibrillator implant with cardiac catheterization without AMI, HF or shock with MCC"	0	1.3482	31.9	26.6
225	"Cardiac defibrillator implant with cardiac catheterization without AMI, HF or shock without MCC"	0	1.3482	31.9	26.6
226	Cardiac defibrillator implant without cardiac catheterization with MCC	0	1.3482	31.9	26.6
227	Cardiac defibrillator implant without cardiac catheterization without MCC	1	1.3482	31.9	26.6
228	Other cardiothoracic procedures with MCC	3	1.3482	31.9	26.6
229	Other cardiothoracic procedures without MCC	0	1.3482	31.9	26.6
231	Coronary bypass with PTCA with MCC	0	1.3482	31.9	26.6
232	Coronary bypass with PTCA without MCC	0	1.3482	31.9	26.6
233	Coronary bypass with cardiac catheterization or open ablation with MCC	0	1.3482	31.9	26.6
234	Coronary bypass with cardiac catheterization or open ablation without MCC	0	1.3482	31.9	26.6
235	Coronary bypass without cardiac catheterization with MCC	0	1.3482	31.9	26.6
236	Coronary bypass without cardiac catheterization without MCC	0	1.3482	31.9	26.6
239	Amputation for circulatory system disorders except upper limb and toe with MCC	20	1.3482	31.9	26.6
240	Amputation for circulatory system disorders except upper limb and toe with CC	3	1.0424	26.9	22.4
241	Amputation for circulatory system disorders except upper limb and toe without CC/MCC	0	1.0424	26.9	22.4
242	Permanent cardiac pacemaker implant with MCC	4	1.3482	31.9	26.6
243	Permanent cardiac pacemaker implant with CC	1	1.3482	31.9	26.6
244	Permanent cardiac pacemaker implant without CC/MCC	0	1.3482	31.9	26.6
245	AICD generator procedures	1	1.3482	31.9	26.6
246	Percutaneous cardiovascular procedures with drug-eluting stent with MCC or 4+ arteries or stents	0	1.3482	31.9	26.6
247	Percutaneous cardiovascular procedures with drug-eluting stent without MCC	0	1.3482	31.9	26.6
248	Percutaneous cardiovascular procedures with non-drug-eluting stent with MCC or 4+ arteries or stents	0	1.3482	31.9	26.6
249	Percutaneous cardiovascular procedures with non-drug-eluting stent without MCC	0	1.3482	31.9	26.6
250	Percutaneous cardiovascular procedures without coronary artery stent with MCC	0	1.3482	31.9	26.6
251	Percutaneous cardiovascular procedures without coronary artery stent without MCC	0	1.3482	31.9	26.6
252	Other vascular procedures with MCC	15	1.3482	31.9	26.6
253	Other vascular procedures with CC	1	1.3482	31.9	26.6
254	Other vascular procedures without CC/MCC	0	1.3482	31.9	26.6
255	Upper limb and toe amputation for circulatory system disorders with MCC	6	1.3482	31.9	26.6
256	Upper limb and toe amputation for circulatory system disorders with CC	0	1.3482	31.9	26.6
257	Upper limb and toe amputation for circulatory system disorders without CC/MCC	0	1.3482	31.9	26.6
258	Cardiac pacemaker device replacement with MCC	0	1.3482	31.9	26.6
259	Cardiac pacemaker device replacement without MCC	0	1.3482	31.9	26.6
260	Cardiac pacemaker revision except device replacement with MCC	0	1.3482	31.9	26.6
261	Cardiac pacemaker revision except device replacement with CC	0	1.3482	31.9	26.6
262	Cardiac pacemaker revision except device replacement without CC/MCC	0	1.3482	31.9	26.6
263	Vein ligation and stripping	0	1.2796	30.6	25.5
264	Other circulatory system O.R. procedures	118	1.2796	30.6	25.5
265	AICD lead procedures	0	1.3482	31.9	26.6
266	Endovascular cardiac valve replacement and supplement procedures with MCC	0	1.3482	31.9	26.6
267	Endovascular cardiac valve replacement and supplement procedures without MCC	0	1.3482	31.9	26.6
268	Aortic and heart assist procedures except pulsation balloon with MCC	0	1.3482	31.9	26.6
269	Aortic and heart assist procedures except pulsation balloon without MCC	0	1.3482	31.9	26.6
270	Other major cardiovascular procedures with MCC	5	1.3482	31.9	26.6
271	Other major cardiovascular procedures with CC	1	1.3482	31.9	26.6
272	Other major cardiovascular procedures without CC/MCC	0	1.3482	31.9	26.6
273	Percutaneous and other intracardiac procedures with MCC	1	0.6451	19.4	16.2
274	Percutaneous and other intracardiac procedures without MCC	0	0.4651	15.7	13.1
280	"Acute myocardial infarction, discharged alive with MCC"	126	0.8087	21.3	17.8
281	"Acute myocardial infarction, discharged alive with CC"	13	0.4651	15.7	13.1
282	"Acute myocardial infarction, discharged alive without CC/MCC"	2	0.4651	15.7	13.1
283	"Acute myocardial infarction, expired with MCC"	12	0.7813	21.1	17.6
284	"Acute myocardial infarction, expired with CC"	0	0.4651	15.7	13.1
285	"Acute myocardial infarction, expired without CC/MCC"	0	0.4651	15.7	13.1
286	"Circulatory disorders except AMI, with cardiac catheterization with MCC"	3	1.0424	26.9	22.4
287	"Circulatory disorders except AMI, with cardiac catheterization without MCC"	0	1.0424	26.9	22.4
288	Acute and subacute endocarditis with MCC	229	1.0362	25.0	20.8
289	Acute and subacute endocarditis with CC*+	37	0.7920	24.5	20.4
290	Acute and subacute endocarditis without CC/MCC*+	1	0.7920	24.5	20.4
291	Heart failure and shock with MCC	445	0.7976	20.2	16.8
292	Heart failure and shock with CC	35	0.6117	18.2	15.2
293	Heart failure and shock without CC/MCC	2	0.4651	15.7	13.1
294	Deep vein thrombophlebitis with CC/MCC	0	0.7985	20.4	17.0
295	Deep vein thrombophlebitis without CC/MCC	0	0.6366	19.3	16.1
296	"Cardiac arrest, unexplained with MCC"	0	0.7976	20.2	16.8
297	"Cardiac arrest, unexplained with CC"	0	0.6117	18.2	15.2
298	"Cardiac arrest, unexplained without CC/MCC"	0	0.4651	15.7	13.1
299	Peripheral vascular disorders with MCC	89	0.7985	20.4	17.0
300	Peripheral vascular disorders with CC	15	0.6366	19.3	16.1
301	Peripheral vascular disorders without CC/MCC	0	0.6366	19.3	16.1
302	Atherosclerosis with MCC	17	1.0424	26.9	22.4
303	Atherosclerosis without MCC	1	0.6366	19.3	16.1
304	Hypertension with MCC	4	0.7813	21.1	17.6
305	Hypertension without MCC	2	0.4651	15.7	13.1
306	Cardiac congenital and valvular disorders with MCC	15	0.7813	21.1	17.6
307	Cardiac congenital and valvular disorders without MCC	2	0.4651	15.7	13.1
308	Cardiac arrhythmia and conduction disorders with MCC	22	0.7813	21.1	17.6
309	Cardiac arrhythmia and conduction disorders with CC	7	0.4651	15.7	13.1
310	Cardiac arrhythmia and conduction disorders without CC/MCC	0	0.4651	15.7	13.1
311	Angina pectoris	0	0.4651	15.7	13.1
312	Syncope and collapse	8	1.0424	26.9	22.4
313	Chest pain	0	0.4651	15.7	13.1
314	Other circulatory system diagnoses with MCC	468	0.9890	23.5	19.6
315	Other circulatory system diagnoses with CC*	34	0.6348	20.4	17.0
316	Other circulatory system diagnoses without CC/MCC*	1	0.6330	19.8	16.5
319	Other endovascular cardiac valve procedures with MCC	0	1.3482	31.9	26.6
320	Other endovascular cardiac valve procedures without MCC	0	1.3482	31.9	26.6
326	"Stomach, esophageal and duodenal procedures with MCC"	3	1.3482	31.9	26.6
327	"Stomach, esophageal and duodenal procedures with CC"	0	0.7638	21.0	17.5
328	"Stomach, esophageal and duodenal procedures without CC/MCC"	0	0.7638	21.0	17.5
329	Major small and large bowel procedures with MCC	2	1.0424	26.9	22.4
330	Major small and large bowel procedures with CC	1	0.7813	21.1	17.6
331	Major small and large bowel procedures without CC/MCC	0	0.7638	21.0	17.5
332	Rectal resection with MCC	0	0.7638	21.0	17.5
333	Rectal resection with CC	0	0.7638	21.0	17.5
334	Rectal resection without CC/MCC	0	0.7638	21.0	17.5
335	Peritoneal adhesiolysis with MCC	1	1.0424	26.9	22.4
336	Peritoneal adhesiolysis with CC	0	0.7638	21.0	17.5
337	Peritoneal adhesiolysis without CC/MCC	0	0.7638	21.0	17.5
338	Appendectomy with complicated principal diagnosis with MCC	0	0.9803	24.0	20.0
339	Appendectomy with complicated principal diagnosis with CC	0	0.7638	21.0	17.5
340	Appendectomy with complicated principal diagnosis without CC/MCC	0	0.7638	21.0	17.5
341	Appendectomy without complicated principal diagnosis with MCC	0	0.9803	24.0	20.0
342	Appendectomy without complicated principal diagnosis with CC	0	0.7638	21.0	17.5
343	Appendectomy without complicated principal diagnosis without CC/MCC	0	0.7638	21.0	17.5
344	Minor small and large bowel procedures with MCC	0	0.9803	24.0	20.0
345	Minor small and large bowel procedures with CC	0	0.7638	21.0	17.5
346	Minor small and large bowel procedures without CC/MCC	0	0.7638	21.0	17.5
347	Anal and stomal procedures with MCC	0	0.9803	24.0	20.0
348	Anal and stomal procedures with CC	0	0.7638	21.0	17.5
349	Anal and stomal procedures without CC/MCC	0	0.7638	21.0	17.5
350	Inguinal and femoral hernia procedures with MCC	1	1.3482	31.9	26.6
351	Inguinal and femoral hernia procedures with CC	0	0.7638	21.0	17.5
352	Inguinal and femoral hernia procedures without CC/MCC	0	0.7638	21.0	17.5
353	Hernia procedures except inguinal and femoral with MCC	1	1.0424	26.9	22.4
354	Hernia procedures except inguinal and femoral with CC	0	0.7638	21.0	17.5
355	Hernia procedures except inguinal and femoral without CC/MCC	0	0.7638	21.0	17.5
356	Other digestive system O.R. procedures with MCC	72	1.4459	32.4	27.0
357	Other digestive system O.R. procedures with CC	2	1.0424	26.9	22.4
358	Other digestive system O.R. procedures without CC/MCC	0	1.0424	26.9	22.4
368	Major esophageal disorders with MCC	9	0.7813	21.1	17.6
369	Major esophageal disorders with CC	0	0.7638	21.0	17.5
370	Major esophageal disorders without CC/MCC	1	0.6366	19.3	16.1
371	Major gastrointestinal disorders and peritoneal infections with MCC	291	0.9803	24.0	20.0
372	Major gastrointestinal disorders and peritoneal infections with CC*+	53	0.7638	21.0	17.5
373	Major gastrointestinal disorders and peritoneal infections without CC/MCC*+	1	0.7638	21.0	17.5
374	Digestive malignancy with MCC	13	0.4651	15.7	13.1
375	Digestive malignancy with CC	0	0.4651	15.7	13.1
376	Digestive malignancy without CC/MCC	1	0.4651	15.7	13.1
377	Gastrointestinal hemorrhage with MCC	28	0.7761	19.5	16.3
378	Gastrointestinal hemorrhage with CC	7	0.4651	15.7	13.1
379	Gastrointestinal hemorrhage without CC/MCC	0	0.4651	15.7	13.1
380	Complicated peptic ulcer with MCC	22	1.1881	29.2	24.3
381	Complicated peptic ulcer with CC	4	1.0424	26.9	22.4
382	Complicated peptic ulcer without CC/MCC	1	0.4651	15.7	13.1
383	Uncomplicated peptic ulcer with MCC*+	1	0.6366	19.3	16.1
384	Uncomplicated peptic ulcer without MCC*+	1	0.6366	19.3	16.1
385	Inflammatory bowel disease with MCC	22	1.3482	31.9	26.6
386	Inflammatory bowel disease with CC	5	1.3482	31.9	26.6
387	Inflammatory bowel disease without CC/MCC	0	1.3482	31.9	26.6
388	Gastrointestinal obstruction with MCC	63	1.0675	24.0	20.0
389	Gastrointestinal obstruction with CC	16	0.7813	21.1	17.6
390	Gastrointestinal obstruction without CC/MCC	0	0.7813	21.1	17.6
391	"Esophagitis, gastroenteritis and miscellaneous digestive disorders with MCC"	114	0.8006	21.2	17.7
392	"Esophagitis, gastroenteritis and miscellaneous digestive disorders without MCC"	29	0.6167	17.4	14.5
393	Other digestive system diagnoses with MCC	280	1.0074	25.9	21.6
394	Other digestive system diagnoses with CC*+	63	0.8572	21.7	18.1
395	Other digestive system diagnoses without CC/MCC*+	3	0.8572	21.7	18.1
405	"Pancreas, liver and shunt procedures with MCC"	4	1.3482	31.9	26.6
406	"Pancreas, liver and shunt procedures with CC"	0	0.4651	15.7	13.1
407	"Pancreas, liver and shunt procedures without CC/MCC"	0	0.4651	15.7	13.1
408	Biliary tract procedures except only cholecystectomy with or without C.D.E. with MCC	0	0.8572	21.7	18.1
409	Biliary tract procedures except only cholecystectomy with or without C.D.E. with CC	0	0.4651	15.7	13.1
410	Biliary tract procedures except only cholecystectomy with or without C.D.E. without CC/MCC	0	0.4651	15.7	13.1
411	Cholecystectomy with C.D.E. with MCC	0	1.1881	29.2	24.3
412	Cholecystectomy with C.D.E. with CC	0	1.0424	26.9	22.4
413	Cholecystectomy with C.D.E. without CC/MCC	0	0.4651	15.7	13.1
414	Cholecystectomy except by laparoscope without C.D.E. with MCC	1	1.3482	31.9	26.6
415	Cholecystectomy except by laparoscope without C.D.E. with CC	0	0.8572	21.7	18.1
416	Cholecystectomy except by laparoscope without C.D.E. without CC/MCC	0	0.8572	21.7	18.1
417	Laparoscopic cholecystectomy without C.D.E. with MCC	0	0.9803	24.0	20.0
418	Laparoscopic cholecystectomy without C.D.E. with CC	0	0.7638	21.0	17.5
419	Laparoscopic cholecystectomy without C.D.E. without CC/MCC	0	0.7638	21.0	17.5
420	Hepatobiliary diagnostic procedures with MCC	0	0.8572	21.7	18.1
421	Hepatobiliary diagnostic procedures with CC	0	0.4651	15.7	13.1
422	Hepatobiliary diagnostic procedures without CC/MCC	0	0.4651	15.7	13.1
423	Other hepatobiliary or pancreas O.R. procedures with MCC	11	1.0424	26.9	22.4
424	Other hepatobiliary or pancreas O.R. procedures with CC	0	0.4651	15.7	13.1
425	Other hepatobiliary or pancreas O.R. procedures without CC/MCC	0	0.4651	15.7	13.1
432	Cirrhosis and alcoholic hepatitis with MCC	41	0.8286	19.1	15.9
433	Cirrhosis and alcoholic hepatitis with CC	11	0.7813	21.1	17.6
434	Cirrhosis and alcoholic hepatitis without CC/MCC	0	0.7813	21.1	17.6
435	Malignancy of hepatobiliary system or pancreas with MCC	3	0.6366	19.3	16.1
436	Malignancy of hepatobiliary system or pancreas with CC	0	0.4651	15.7	13.1
437	Malignancy of hepatobiliary system or pancreas without CC/MCC	0	0.4651	15.7	13.1
438	Disorders of pancreas except malignancy with MCC	93	1.0982	25.0	20.8
439	Disorders of pancreas except malignancy with CC	16	0.6366	19.3	16.1
440	Disorders of pancreas except malignancy without CC/MCC	0	0.6366	19.3	16.1
441	"Disorders of liver except malignancy, cirrhosis or alcoholic hepatitis with MCC"	51	0.8810	23.6	19.7
442	"Disorders of liver except malignancy, cirrhosis or alcoholic hepatitis with CC"	5	0.4651	15.7	13.1
443	"Disorders of liver except malignancy, cirrhosis or alcoholic hepatitis without CC/MCC"	0	0.4651	15.7	13.1
