"TABLE 11.—  MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2019 THROUGH SEPTEMBER 30, 2020 UNDER THE LTCH PPS"					
MS-LTC-DRG	MS-LTC-DRG Title	FY 2018 LTCH Cases	Relative Weight	Geometric Average Length of Stay1	Short-Stay Outlier (SSO) Threshold2
72	Nonspecific cerebrovascular disorders w/o CC/MCC	1	0.4808	15.8	13.2
73	Cranial & peripheral nerve disorders w MCC	39	0.9848	23.7	19.8
74	Cranial & peripheral nerve disorders w/o MCC	14	0.6064	18.6	15.5
75	Viral meningitis w CC/MCC	6	0.6064	18.6	15.5
76	Viral meningitis w/o CC/MCC	0	0.6064	18.6	15.5
77	Hypertensive encephalopathy w MCC	1	0.6064	18.6	15.5
78	Hypertensive encephalopathy w CC	0	0.6064	18.6	15.5
79	Hypertensive encephalopathy w/o CC/MCC	0	0.6064	18.6	15.5
80	Nontraumatic stupor & coma w MCC	3	1.0554	26.2	21.8
81	Nontraumatic stupor & coma w/o MCC	1	0.7922	21.8	18.2
82	"Traumatic stupor & coma, coma >1 hr w MCC"	84	0.8791	24.5	20.4
83	"Traumatic stupor & coma, coma >1 hr w CC"	19	0.4808	15.8	13.2
84	"Traumatic stupor & coma, coma >1 hr w/o CC/MCC"	3	0.4808	15.8	13.2
85	"Traumatic stupor & coma, coma <1 hr w MCC"	24	0.7922	21.8	18.2
86	"Traumatic stupor & coma, coma <1 hr w CC"	15	0.7922	21.8	18.2
87	"Traumatic stupor & coma, coma <1 hr w/o CC/MCC"	1	0.4808	15.8	13.2
88	Concussion w MCC	0	0.7922	21.8	18.2
89	Concussion w CC	0	0.7922	21.8	18.2
90	Concussion w/o CC/MCC	0	0.4808	15.8	13.2
91	Other disorders of nervous system w MCC	177	0.9846	25.5	21.3
92	Other disorders of nervous system w CC	39	0.5851	20.1	16.8
93	Other disorders of nervous system w/o CC/MCC	5	0.4808	15.8	13.2
94	Bacterial & tuberculous infections of nervous system w MCC	172	1.1890	27.5	22.9
95	Bacterial & tuberculous infections of nervous system w CC	38	0.8016	23.5	19.6
96	Bacterial & tuberculous infections of nervous system w/o CC/MCC	1	0.4808	15.8	13.2
97	Non-bacterial infect of nervous sys exc viral meningitis w MCC	59	1.0536	23.3	19.4
98	Non-bacterial infect of nervous sys exc viral meningitis w CC	12	0.6064	18.6	15.5
99	Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC	0	0.6064	18.6	15.5
100	Seizures w MCC	37	0.8822	21.5	17.9
101	Seizures w/o MCC	18	0.7922	21.8	18.2
102	Headaches w MCC	1	0.4808	15.8	13.2
103	Headaches w/o MCC	1	0.4808	15.8	13.2
113	Orbital procedures w CC/MCC	0	0.4808	15.8	13.2
114	Orbital procedures w/o CC/MCC	0	0.4808	15.8	13.2
115	Extraocular procedures except orbit	0	1.5478	33.6	28.0
116	Intraocular procedures w CC/MCC	0	1.5478	33.6	28.0
117	Intraocular procedures w/o CC/MCC	0	0.4808	15.8	13.2
121	Acute major eye infections w CC/MCC	3	0.7922	21.8	18.2
122	Acute major eye infections w/o CC/MCC	0	0.4808	15.8	13.2
123	Neurological eye disorders	0	0.7922	21.8	18.2
124	Other disorders of the eye w MCC	1	0.6064	18.6	15.5
125	Other disorders of the eye w/o MCC	0	0.4808	15.8	13.2
129	Major head & neck procedures w CC/MCC or major device	0	1.5478	33.6	28.0
130	Major head & neck procedures w/o CC/MCC	0	0.4808	15.8	13.2
131	Cranial/facial procedures w CC/MCC	0	0.4808	15.8	13.2
132	Cranial/facial procedures w/o CC/MCC	0	0.4808	15.8	13.2
133	"Other ear, nose, mouth & throat O.R. procedures w CC/MCC"	5	1.5478	33.6	28.0
134	"Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC"	0	0.4808	15.8	13.2
135	Sinus & mastoid procedures w CC/MCC	0	0.4808	15.8	13.2
136	Sinus & mastoid procedures w/o CC/MCC	0	0.4808	15.8	13.2
137	Mouth procedures w CC/MCC	1	1.0554	26.2	21.8
138	Mouth procedures w/o CC/MCC	0	0.4808	15.8	13.2
139	Salivary gland procedures	0	1.5478	33.6	28.0
146	"Ear, nose, mouth & throat malignancy w MCC"	20	0.7922	21.8	18.2
147	"Ear, nose, mouth & throat malignancy w CC"	3	0.7922	21.8	18.2
148	"Ear, nose, mouth & throat malignancy w/o CC/MCC"	0	0.7922	21.8	18.2
149	Dysequilibrium	1	0.4808	15.8	13.2
150	Epistaxis w MCC	1	0.6064	18.6	15.5
151	Epistaxis w/o MCC	0	0.6064	18.6	15.5
152	Otitis media & URI w MCC	23	1.0554	26.2	21.8
153	Otitis media & URI w/o MCC	7	1.0554	26.2	21.8
154	"Other ear, nose, mouth & throat diagnoses w MCC"	17	0.6064	18.6	15.5
155	"Other ear, nose, mouth & throat diagnoses w CC"	6	0.4808	15.8	13.2
156	"Other ear, nose, mouth & throat diagnoses w/o CC/MCC"	0	0.4808	15.8	13.2
157	Dental & Oral Diseases w MCC	14	1.0554	26.2	21.8
158	Dental & Oral Diseases w CC	6	0.6064	18.6	15.5
159	Dental & Oral Diseases w/o CC/MCC	0	0.4808	15.8	13.2
163	Major chest procedures w MCC	80	2.4924	40.7	33.9
164	Major chest procedures w CC	4	1.0554	26.2	21.8
165	Major chest procedures w/o CC/MCC	0	1.0554	26.2	21.8
166	Other resp system O.R. procedures w MCC	"1,664"	2.3392	40.5	33.8
167	Other resp system O.R. procedures w CC	84	1.6427	31.8	26.5
168	Other resp system O.R. procedures w/o CC/MCC	0	1.6427	31.8	26.5
175	Pulmonary embolism w MCC or acute cor pulmonale	41	0.6442	17.9	14.9
176	Pulmonary embolism w/o MCC	17	0.6064	18.6	15.5
177	Respiratory infections & inflammations w MCC	"1,387"	0.8035	21.5	17.9
178	Respiratory infections & inflammations w CC	242	0.6729	19.4	16.2
179*	Respiratory infections & inflammations w/o CC/MCC	13	0.6729	19.4	16.2
180	Respiratory neoplasms w MCC	17	1.0554	26.2	21.8
181	Respiratory neoplasms w CC	9	0.7922	21.8	18.2
182	Respiratory neoplasms w/o CC/MCC	0	0.7922	21.8	18.2
183	Major chest trauma w MCC	2	0.4808	15.8	13.2
184	Major chest trauma w CC	2	0.4808	15.8	13.2
185	Major chest trauma w/o CC/MCC	0	0.4808	15.8	13.2
186	Pleural effusion w MCC	50	0.7382	20.5	17.1
187	Pleural effusion w CC	9	0.6064	18.6	15.5
188	Pleural effusion w/o CC/MCC	0	0.6064	18.6	15.5
189	Pulmonary edema & respiratory failure	"14,180"	0.9616	21.5	17.9
190	Chronic obstructive pulmonary disease w MCC	528	0.7572	19.1	15.9
191	Chronic obstructive pulmonary disease w CC	94	0.5484	16.1	13.4
192*	Chronic obstructive pulmonary disease w/o CC/MCC	17	0.5484	16.1	13.4
193	Simple pneumonia & pleurisy w MCC	542	0.7520	19.3	16.1
194	Simple pneumonia & pleurisy w CC	130	0.5562	16.3	13.6
195	Simple pneumonia & pleurisy w/o CC/MCC	10	0.4808	15.8	13.2
196	Interstitial lung disease w MCC	46	0.8012	20.1	16.8
197	Interstitial lung disease w CC	3	0.7922	21.8	18.2
198	Interstitial lung disease w/o CC/MCC	0	0.7922	21.8	18.2
199	Pneumothorax w MCC	45	0.7100	20.2	16.8
200	Pneumothorax w CC	9	0.4808	15.8	13.2
201	Pneumothorax w/o CC/MCC	2	0.4808	15.8	13.2
202	Bronchitis & asthma w CC/MCC	40	0.6232	17.5	14.6
203	Bronchitis & asthma w/o CC/MCC	0	0.6232	17.5	14.6
204	Respiratory signs & symptoms	8	0.6064	18.6	15.5
205	Other respiratory system diagnoses w MCC	65	0.9692	23.8	19.8
206	Other respiratory system diagnoses w/o MCC	9	0.6064	18.6	15.5
207	Respiratory system diagnosis w ventilator support >96 hours	"12,486"	1.8628	32.1	26.8
208	Respiratory system diagnosis w ventilator support <=96 hours	"1,625"	1.1100	21.6	18.0
215	Other heart assist system implant	0	1.3511	28.6	23.8
216	Cardiac valve & oth maj cardiothoracic proc w card cath w MCC	0	1.3511	28.6	23.8
217	Cardiac valve & oth maj cardiothoracic proc w card cath w CC	0	1.3511	28.6	23.8
218	Cardiac valve & oth maj cardiothoracic proc w card cath w/o CC/MCC	0	1.3511	28.6	23.8
219	Cardiac valve & oth maj cardiothoracic proc w/o card cath w MCC	0	1.3511	28.6	23.8
220	Cardiac valve & oth maj cardiothoracic proc w/o card cath w CC	0	1.3511	28.6	23.8
221	Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC	0	1.3511	28.6	23.8
222	Cardiac defib implant w cardiac cath w AMI/HF/shock w MCC	0	1.5478	33.6	28.0
223	Cardiac defib implant w cardiac cath w AMI/HF/shock w/o MCC	0	1.5478	33.6	28.0
224	Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC	0	1.5478	33.6	28.0
225	Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC	0	1.5478	33.6	28.0
226	Cardiac defibrillator implant w/o cardiac cath w MCC	5	1.5478	33.6	28.0
227	Cardiac defibrillator implant w/o cardiac cath w/o MCC	0	1.5478	33.6	28.0
228	Other cardiothoracic procedures w MCC	1	0.7922	21.8	18.2
229	Other cardiothoracic procedures w/o MCC	0	0.7922	21.8	18.2
231	Coronary bypass w PTCA w MCC	0	1.3511	28.6	23.8
232	Coronary bypass w PTCA w/o MCC	0	1.3511	28.6	23.8
233	Coronary bypass w cardiac cath w MCC	0	1.3511	28.6	23.8
234	Coronary bypass w cardiac cath w/o MCC	0	1.3511	28.6	23.8
235	Coronary bypass w/o cardiac cath w MCC	0	1.3511	28.6	23.8
236	Coronary bypass w/o cardiac cath w/o MCC	0	1.3511	28.6	23.8
239	Amputation for circ sys disorders exc upper limb & toe w MCC	36	1.7608	39.5	32.9
240	Amputation for circ sys disorders exc upper limb & toe w CC	5	1.5478	33.6	28.0
241	Amputation for circ sys disorders exc upper limb & toe w/o CC/MCC	0	1.5478	33.6	28.0
242	Permanent cardiac pacemaker implant w MCC	12	1.5478	33.6	28.0
243	Permanent cardiac pacemaker implant w CC	2	0.7922	21.8	18.2
244	Permanent cardiac pacemaker implant w/o CC/MCC	1	0.4808	15.8	13.2
245	AICD generator procedures	1	1.5478	33.6	28.0
246	Percutaneous cardiovascular procedures w drug-eluting stent w MCC or 4+ arteries or stents	0	1.5478	33.6	28.0
247	Perc cardiovasc proc w drug-eluting stent w/o MCC	0	0.7922	21.8	18.2
248	Percutaneous cardiovascular procedures w non-drug-eluting stent w MCC or 4+ arteries or stents	0	0.4808	15.8	13.2
249	Perc cardiovasc proc w non-drug-eluting stent w/o MCC	0	0.4808	15.8	13.2
250	Perc cardiovasc proc w/o coronary artery stent w MCC	0	1.5478	33.6	28.0
251	Perc cardiovasc proc w/o coronary artery stent w/o MCC	0	0.4808	15.8	13.2
252	Other vascular procedures w MCC	46	1.3511	28.6	23.8
253	Other vascular procedures w CC	2	0.7922	21.8	18.2
254	Other vascular procedures w/o CC/MCC	0	0.7922	21.8	18.2
255	Upper limb & toe amputation for circ system disorders w MCC	10	1.5478	33.6	28.0
256	Upper limb & toe amputation for circ system disorders w CC	1	0.7922	21.8	18.2
257	Upper limb & toe amputation for circ system disorders w/o CC/MCC	0	0.7922	21.8	18.2
258	Cardiac pacemaker device replacement w MCC	0	1.5478	33.6	28.0
259	Cardiac pacemaker device replacement w/o MCC	1	1.5478	33.6	28.0
260	Cardiac pacemaker revision except device replacement w MCC	2	1.5478	33.6	28.0
261	Cardiac pacemaker revision except device replacement w CC	0	0.7922	21.8	18.2
262	Cardiac pacemaker revision except device replacement w/o CC/MCC	0	0.7922	21.8	18.2
263	Vein ligation & stripping	1	0.6064	18.6	15.5
264	Other circulatory system O.R. procedures	235	1.3001	32.2	26.8
265	AICD lead procedures	0	0.7922	21.8	18.2
266	Endovascular cardiac valve replacement & supplement procedures w MCC	0	0.7922	21.8	18.2
267	Endovascular cardiac valve replacement & supplement procedures w/o MCC	0	0.7922	21.8	18.2
268	Aortic and heart assist procedures except pulsation balloon w MCC	0	1.3511	28.6	23.8
269	Aortic and heart assist procedures except pulsation balloon w/o MCC	0	1.3511	28.6	23.8
270	Other major cardiovascular procedures w MCC	7	1.5478	33.6	28.0
271	Other major cardiovascular procedures w CC	3	0.7922	21.8	18.2
272	Other major cardiovascular procedures w/o CC/MCC	0	0.7922	21.8	18.2
273	Percutaneous intracardiac procedures w MCC	2	1.5478	33.6	28.0
274	Percutaneous intracardiac procedures w/o MCC	0	1.5478	33.6	28.0
280	"Acute myocardial infarction, discharged alive w MCC"	205	0.7842	21.8	18.2
281	"Acute myocardial infarction, discharged alive w CC"	39	0.6149	18.8	15.7
282	"Acute myocardial infarction, discharged alive w/o CC/MCC"	4	0.4808	15.8	13.2
283*	"Acute myocardial infarction, expired w MCC"	22	0.7922	21.8	18.2
284*	"Acute myocardial infarction, expired w CC"	1	0.7922	21.8	18.2
285	"Acute myocardial infarction, expired w/o CC/MCC"	0	0.7922	21.8	18.2
286	"Circulatory disorders except AMI, w card cath w MCC"	10	1.5478	33.6	28.0
287	"Circulatory disorders except AMI, w card cath w/o MCC"	0	1.5478	33.6	28.0
288	Acute & subacute endocarditis w MCC	419	1.0843	26.0	21.7
289	Acute & subacute endocarditis w CC	74	0.8629	27.0	22.5
290*	Acute & subacute endocarditis w/o CC/MCC	5	0.8629	27.0	22.5
291	Heart failure & shock w MCC	"1,033"	0.7964	20.0	16.7
292	Heart failure & shock w CC	139	0.6008	18.8	15.7
293	Heart failure & shock w/o CC/MCC	17	0.4808	15.8	13.2
294	Deep vein thrombophlebitis w CC/MCC	0	0.6252	20.0	16.7
295	Deep vein thrombophlebitis w/o CC/MCC	0	0.6064	18.6	15.5
296	"Cardiac arrest, unexplained w MCC"	2	0.4808	15.8	13.2
297	"Cardiac arrest, unexplained w CC"	0	0.4808	15.8	13.2
298	"Cardiac arrest, unexplained w/o CC/MCC"	0	0.4808	15.8	13.2
299	Peripheral vascular disorders w MCC	173	0.8239	22.1	18.4
300	Peripheral vascular disorders w CC	41	0.6252	20.0	16.7
301	Peripheral vascular disorders w/o CC/MCC	2	0.6064	18.6	15.5
302	Atherosclerosis w MCC	39	0.7560	19.7	16.4
303	Atherosclerosis w/o MCC	10	0.6064	18.6	15.5
304	Hypertension w MCC	10	0.7922	21.8	18.2
305	Hypertension w/o MCC	4	0.6064	18.6	15.5
306	Cardiac congenital & valvular disorders w MCC	36	0.7444	19.8	16.5
307*	Cardiac congenital & valvular disorders w/o MCC	3	0.7444	19.8	16.5
308	Cardiac arrhythmia & conduction disorders w MCC	51	0.7783	20.7	17.3
309	Cardiac arrhythmia & conduction disorders w CC	22	0.6064	18.6	15.5
310	Cardiac arrhythmia & conduction disorders w/o CC/MCC	3	0.4808	15.8	13.2
311	Angina pectoris	5	0.4808	15.8	13.2
312	Syncope & collapse	19	0.7922	21.8	18.2
313	Chest pain	0	0.4808	15.8	13.2
314	Other circulatory system diagnoses w MCC	892	1.0363	24.2	20.2
315	Other circulatory system diagnoses w CC	68	0.7577	21.3	17.8
316	Other circulatory system diagnoses w/o CC/MCC	3	0.6064	18.6	15.5
319	Other endovascular cardiac valve procedures w MCC	0	0.7922	21.8	18.2
320	Other endovascular cardiac valve procedures w/o MCC	0	0.7922	21.8	18.2
326	"Stomach, esophageal & duodenal proc w MCC"	12	1.5478	33.6	28.0
327	"Stomach, esophageal & duodenal proc w CC"	0	0.4808	15.8	13.2
328	"Stomach, esophageal & duodenal proc w/o CC/MCC"	0	0.4808	15.8	13.2
329	Major small & large bowel procedures w MCC	16	1.5478	33.6	28.0
330	Major small & large bowel procedures w CC	2	1.5478	33.6	28.0
331	Major small & large bowel procedures w/o CC/MCC	0	0.4808	15.8	13.2
332	Rectal resection w MCC	0	1.5478	33.6	28.0
333	Rectal resection w CC	0	0.6291	18.7	15.6
334	Rectal resection w/o CC/MCC	0	0.4808	15.8	13.2
335	Peritoneal adhesiolysis w MCC	0	0.9331	23.1	19.3
336	Peritoneal adhesiolysis w CC	0	0.6291	18.7	15.6
337	Peritoneal adhesiolysis w/o CC/MCC	0	0.4808	15.8	13.2
338	Appendectomy w complicated principal diag w MCC	0	0.9331	23.1	19.3
339	Appendectomy w complicated principal diag w CC	0	0.6291	18.7	15.6
340	Appendectomy w complicated principal diag w/o CC/MCC	0	0.4808	15.8	13.2
341	Appendectomy w/o complicated principal diag w MCC	0	0.6064	18.6	15.5
342	Appendectomy w/o complicated principal diag w CC	0	0.6064	18.6	15.5
343	Appendectomy w/o complicated principal diag w/o CC/MCC	0	0.6064	18.6	15.5
344	Minor small & large bowel procedures w MCC	3	1.0554	26.2	21.8
345	Minor small & large bowel procedures w CC	0	0.6291	18.7	15.6
346	Minor small & large bowel procedures w/o CC/MCC	0	0.4808	15.8	13.2
347	Anal & stomal procedures w MCC	4	1.5478	33.6	28.0
348	Anal & stomal procedures w CC	0	0.6291	18.7	15.6
349	Anal & stomal procedures w/o CC/MCC	0	0.4808	15.8	13.2
350	Inguinal & femoral hernia procedures w MCC	0	0.9331	23.1	19.3
351	Inguinal & femoral hernia procedures w CC	0	0.6291	18.7	15.6
352	Inguinal & femoral hernia procedures w/o CC/MCC	0	0.4808	15.8	13.2
353	Hernia procedures except inguinal & femoral w MCC	3	1.5478	33.6	28.0
354	Hernia procedures except inguinal & femoral w CC	0	0.6291	18.7	15.6
355	Hernia procedures except inguinal & femoral w/o CC/MCC	0	0.4808	15.8	13.2
356	Other digestive system O.R. procedures w MCC	114	1.4825	34.0	28.3
357	Other digestive system O.R. procedures w CC	10	1.0554	26.2	21.8
358	Other digestive system O.R. procedures w/o CC/MCC	0	1.0554	26.2	21.8
368	Major esophageal disorders w MCC	22	1.0554	26.2	21.8
369	Major esophageal disorders w CC	2	1.0554	26.2	21.8
370	Major esophageal disorders w/o CC/MCC	0	1.0554	26.2	21.8
371	Major gastrointestinal disorders & peritoneal infections w MCC	499	0.9331	23.1	19.3
372	Major gastrointestinal disorders & peritoneal infections w CC	89	0.6291	18.7	15.6
373	Major gastrointestinal disorders & peritoneal infections w/o CC/MCC	6	0.4808	15.8	13.2
374	Digestive malignancy w MCC	30	0.8291	23.8	19.8
375*	Digestive malignancy w CC	7	0.8291	23.8	19.8
376	Digestive malignancy w/o CC/MCC	0	0.8291	23.8	19.8
377	G.I. hemorrhage w MCC	81	0.8018	20.9	17.4
378	G.I. hemorrhage w CC	15	0.7922	21.8	18.2
379	G.I. hemorrhage w/o CC/MCC	1	0.4808	15.8	13.2
380	Complicated peptic ulcer w MCC	40	1.0265	26.4	22.0
381	Complicated peptic ulcer w CC	4	0.7922	21.8	18.2
382	Complicated peptic ulcer w/o CC/MCC	0	0.7922	21.8	18.2
383	Uncomplicated peptic ulcer w MCC	3	1.0554	26.2	21.8
384	Uncomplicated peptic ulcer w/o MCC	2	0.4808	15.8	13.2
385	Inflammatory bowel disease w MCC	21	1.5478	33.6	28.0
386	Inflammatory bowel disease w CC	7	0.6064	18.6	15.5
387	Inflammatory bowel disease w/o CC/MCC	0	0.6064	18.6	15.5
388	G.I. obstruction w MCC	135	0.9392	23.4	19.5
389	G.I. obstruction w CC	40	0.6453	18.7	15.6
390*	G.I. obstruction w/o CC/MCC	5	0.6453	18.7	15.6
391	"Esophagitis, gastroent & misc digest disorders w MCC"	266	0.9991	24.6	20.5
392	"Esophagitis, gastroent & misc digest disorders w/o MCC"	58	0.6165	17.6	14.7
393	Other digestive system diagnoses w MCC	537	1.0913	26.2	21.8
394	Other digestive system diagnoses w CC	83	0.7920	22.6	18.8
395*	Other digestive system diagnoses w/o CC/MCC	7	0.7920	22.6	18.8
405	"Pancreas, liver & shunt procedures w MCC"	2	1.0554	26.2	21.8
406	"Pancreas, liver & shunt procedures w CC"	0	0.7922	21.8	18.2
407	"Pancreas, liver & shunt procedures w/o CC/MCC"	0	0.4808	15.8	13.2
408	Biliary tract proc except only cholecyst w or w/o c.d.e. w MCC	0	0.8018	20.9	17.4
409	Biliary tract proc except only cholecyst w or w/o c.d.e. w CC	0	0.7922	21.8	18.2
410	Biliary tract proc except only cholecyst w or w/o c.d.e. w/o CC/MCC	0	0.4808	15.8	13.2
411	Cholecystectomy w c.d.e. w MCC	0	0.8018	20.9	17.4
412	Cholecystectomy w c.d.e. w CC	0	0.7922	21.8	18.2
413	Cholecystectomy w c.d.e. w/o CC/MCC	0	0.4808	15.8	13.2
414	Cholecystectomy except by laparoscope w/o c.d.e. w MCC	1	1.5478	33.6	28.0
415	Cholecystectomy except by laparoscope w/o c.d.e. w CC	0	0.6064	18.6	15.5
416	Cholecystectomy except by laparoscope w/o c.d.e. w/o CC/MCC	0	0.6064	18.6	15.5
417	Laparoscopic cholecystectomy w/o c.d.e. w MCC	10	1.0554	26.2	21.8
418	Laparoscopic cholecystectomy w/o c.d.e. w CC	1	0.6064	18.6	15.5
419	Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC	0	0.6064	18.6	15.5
420	Hepatobiliary diagnostic procedures w MCC	0	0.6064	18.6	15.5
421	Hepatobiliary diagnostic procedures w CC	0	0.6064	18.6	15.5
422	Hepatobiliary diagnostic procedures w/o CC/MCC	0	0.6064	18.6	15.5
423	Other hepatobiliary or pancreas O.R. procedures w MCC	12	1.0554	26.2	21.8
424	Other hepatobiliary or pancreas O.R. procedures w CC	0	1.0554	26.2	21.8
425	Other hepatobiliary or pancreas O.R. procedures w/o CC/MCC	0	0.6064	18.6	15.5
432	Cirrhosis & alcoholic hepatitis w MCC	82	0.8497	21.6	18.0
433	Cirrhosis & alcoholic hepatitis w CC	11	0.6064	18.6	15.5
434	Cirrhosis & alcoholic hepatitis w/o CC/MCC	3	0.6064	18.6	15.5
435	Malignancy of hepatobiliary system or pancreas w MCC	17	1.0554	26.2	21.8
436	Malignancy of hepatobiliary system or pancreas w CC	1	0.4808	15.8	13.2
437	Malignancy of hepatobiliary system or pancreas w/o CC/MCC	0	0.4808	15.8	13.2
438	Disorders of pancreas except malignancy w MCC	153	0.9251	20.9	17.4
439	Disorders of pancreas except malignancy w CC	26	0.8336	22.0	18.3
440	Disorders of pancreas except malignancy w/o CC/MCC	1	0.4808	15.8	13.2
441	"Disorders of liver except malig, cirr, alc hepa w MCC"	91	0.8400	20.6	17.2
442	"Disorders of liver except malig, cirr, alc hepa w CC"	20	0.6064	18.6	15.5
443	"Disorders of liver except malig, cirr, alc hepa w/o CC/MCC"	0	0.6064	18.6	15.5
